AC No., AC ,PC,District,Percentage of total population,,,,,,,Literacy Rate,,,Assembly Election - 2012,,,,,,Assembly Segment of Parliamentary Election - 2014,,,,,
,,,,Hindu Range,Muslim Range,Sikh Range,SC%,ST%,Rural Range,Urban Range,Person,Male,Female,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age
27,Jwalapur (SC),Hardwar,Haridwar,55-60,40-45,0-5,24.45,0.00,95-100,0-5,65-70,75-80,55-60,BJP,30.26,BSP,29.46,INC,29.33,INC,39.86,BJP,39.84,BSP,16.06
28,Bhagwanpur (SC),Hardwar,Haridwar,55-60,40-45,0-5,28.00,0.00,90-95,5-10,65-70,75-80,55-60,BSP,46.89,INC,38.26,BJP,13.56,INC,44.08,BJP,39.10,BSP,13.36
29,Jhabrera (SC),Hardwar,Haridwar,60-65,35-40,0-5,31.34,0.01,85-90,10-15,70-75,85-90,70-75,BSP,32.87,INC,27.37,BJP,23.33,BJP,44.42,INC,34.33,BSP,17.93
30,Pirankaliyar,Hardwar,Haridwar,50-55,45-50,0-5,20.19,0.04,65-70,30-35,65-70,75-80,60-65,INC,35.05,BSP,32.41,BJP,29.33,INC,40.79,BJP,38.29,BSP,17.21
31,Roorkee,Hardwar,Haridwar,70-75,20-25,0-5,12.14,0.04,5-10,90-95,85-90,90-95,80-85,INC,37.77,BJP,36.47,BSP,15.93,BJP,59.63,INC,33.74,BSP,3.43
32,Khanpur,Hardwar,Haridwar,65-70,30-35,0-5,23.74,0.01,60-65,30-35,65-70,75-80,55-60,INC,26.26,BSP,23.03,BJP,22.30,BJP,49.62,INC,34.49,BSP,11.74
33,Manglore,Hardwar,Haridwar,50-55,45-50,0-5,20.76,0.00,65-70,30-35,60-65,70-75,55-60,BSP,34.03,INC,33.07,RLD,26.66,INC,40.60,BJP,36.93,BSP,19.30
34,Laksar,Hardwar,Haridwar,65-70,30-35,0-5,23.42,0.00,80-85,10-15,70-75,80-85,60-65,BJP,39.41,BSP,23.62,IND,19.81,BJP,45.01,INC,36.02,BSP,15.71
35,Hardwar Rural,Hardwar,Haridwar,60-65,30-35,0-5,20.13,2.15,95-100,0-5,65-70,75-80,55-60,BJP,32.40,INC,27.41,BSP,24.67,BJP,44.81,INC,41.06,BSP,9.87
36,Yamkeshwar,Garhwal,Pauri Garhwal,95-100,0-5,0-5,11.67,0.06,90-95,5-10,80-85,90-95,70-75,BJP,32.20,INC,23.96,UtRM,19.87,BJP,64.29,INC,29.10,CPI(ML)(L),1.11
37,Pauri (SC),Garhwal,Pauri Garhwal,95-100,0-5,0-5,21.87,0.11,75-80,20-25,80-85,90-95,70-75,INC,42.82,BJP,36.40,UtRM,14.76,BJP,53.62,INC,38.67,CPI(ML)(L),1.16
38,Srinagar,Garhwal,Pauri Garhwal,95-100,0-5,0-5,14.68,0.08,80-85,10-15,75-80,90-95,65-70,INC,51.27,BJP,41.99,IND,1.53,BJP,56.30,INC,35.41,IND,1.21
39,Chaubattakhal,Garhwal,Pauri Garhwal,95-100,0-5,0-5,16.52,0.02,95-100,0-5,75-80,90-95,65-70,BJP,33.78,INC,29.28,IND,14.33,BJP,54.61,INC,36.42,IND,1.25
40,Lansdowne,Garhwal,Pauri Garhwal,95-100,0-5,0-5,14.99,0.02,90-95,5-10,75-80,90-95,65-70,BJP,38.70,UtRM,24.97,INC,22.35,BJP,58.35,INC,34.75,CPI(ML)(L),1.23
41,Kotdwar,Garhwal,Pauri Garhwal,85-90,10-15,0-5,11.48,1.06,60-65,35-40,85-90,90-95,80-85,INC,51.19,BJP,43.75,BSP,2.39,BJP,65.75,INC,29.25,BSP,1.54
42,Dharchula,Almora (SC),Pithoragarh,95-100,0-5,0-5,18.49,15.30,90-95,5-10,75-80,90-95,60-65,INC,33.19,BJP,22.00,UKDP,14.10,INC,48.88,BJP,42.84,BSP,1.60
43,Didihat,Almora (SC),Pithoragarh,95-100,0-5,0-5,23.36,1.04,90-95,5-10,80-85,90-95,70-75,BJP,46.78,INC,23.23,BSP,22.59,BJP,55.72,INC,38.12,BSP,1.00
44,Pithoragarh,Almora (SC),Pithoragarh,95-100,0-5,0-5,20.65,1.00,60-65,35-40,85-90,90-95,80-85,INC,59.71,BJP,36.52,BSP,1.61,BJP,56.26,INC,37.25,AAP,1.53
45,Gangolihat (SC),Almora (SC),Pithoragarh,95-100,0-5,0-5,29.19,0.37,95-100,0-5,75-80,90-95,65-70,INC,50.74,BJP,34.52,BSP,6.42,BJP,49.04,INC,41.82,BSP,2.82
46,Kapkote,Almora (SC),Bageshwar,95-100,0-5,0-5,24.43,1.22,95-100,0-5,75-80,90-95,65-70,INC,43.50,BJP,40.83,BSP,3.77,BJP,51.90,INC,38.69,BSP,3.44
47,Bageshwar (SC),Almora (SC),Bageshwar,95-100,0-5,0-5,27.06,0.40,90-95,5-10,80-85,90-95,70-75,BJP,38.91,INC,35.73,BSP,16.43,BJP,54.05,INC,35.72,BSP,3.18
48,Dwarahat,Almora (SC),Almora,95-100,0-5,0-5,22.11,0.05,95-100,0-5,80-85,90-95,70-75,INC,33.96,UKDP,26.33,BJP,25.46,BJP,59.12,INC,31.37,AAP,1.64
49,Salt,Almora (SC),Almora,95-100,0-5,0-5,16.10,0.01,95-100,0-5,75-80,90-95,60-65,BJP,51.08,INC,39.47,IND,1.75,BJP,55.23,INC,35.47,AAP,1.84
50,Ranikhet,Almora (SC),Almora,95-100,0-5,0-5,20.65,0.09,75-80,15-20,85-90,95-100,75-80,BJP,35.88,INC,35.68,BSP,23.80,BJP,49.37,INC,42.05,BSP,2.55
51,Someshwar (SC),Almora (SC),Almora,95-100,0-5,0-5,28.69,0.04,95-100,0-5,75-80,90-95,65-70,BJP,39.64,IND,33.47,INC,22.28,BJP,52.54,INC,38.73,BSP,1.93
52,Almora,Almora (SC),Almora,95-100,0-5,0-5,22.63,0.62,60-65,30-35,85-90,90-95,75-80,INC,34.07,BJP,31.59,BSP,14.25,BJP,54.21,INC,37.78,BSP,2.39
53,Jageshwar,Almora (SC),Almora,95-100,0-5,0-5,24.30,0.01,95-100,0-5,70-75,85-90,60-65,INC,39.01,BJP,30.71,UKDP,19.90,INC,46.64,BJP,44.45,BSP,1.99
