AC No., AC ,PC,District,Percentage of total population,,,,,,Literacy Rate,,,Assembly Election - 2012,,,,,,Assembly Segment of Parliamentary Election - 2014,,,,,
,,,,Hindu Range,Muslim Range,Sikh Range,SC Pop.,Rural Range,Urban Range,Person,Male,Female,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age
28,Sultanpur Lodhi,Khadoor Sahib,Kapurthala,20-25,0-5,75-80,28.42,80-85,15-20,70-75,75-80,65-70,INC,48.33,SAD,44.00,PPOP,2.29,SAD,39.35,INC,28.47,AAP,24.95
29,Phagwara (SC),Hoshiarpur (SC),Kapurthala,60-65,0-5,30-35,38.29,50-55,45-50,80-85,85-90,75-80,BJP,40.96,INC,28.04,BSP,23.18,INC,33.22,BJP,29.07,AAP,25.38
30,Phillaur (SC),Jalandhar (SC),Jalandhar,55-60,0-5,35-40,46.85,80-85,15-20,80-85,80-85,75-80,SAD,32.58,INC,32.55,BSP,29.90,INC,36.66,AAP,24.85,SAD,23.50
31,Nakodar,Jalandhar (SC),Jalandhar,50-55,0-5,40-45,43.89,75-80,20-25,75-80,80-85,70-75,SAD,44.44,INC,38.23,BSP,13.12,SAD,29.96,AAP,29.32,INC,26.08
32,Shahkot,Jalandhar (SC),Jalandhar,30-35,0-5,65-70,33.89,85-90,10-15,70-75,75-80,65-70,SAD,45.17,INC,40.78,PPOP,7.96,SAD,41.15,AAP,25.70,INC,25.10
33,Kartarpur (SC),Jalandhar (SC),Jalandhar,50-55,0-5,40-45,48.82,80-85,15-20,80-85,80-85,75-80,SAD,41.92,INC,41.21,BSP,12.01,INC,41.99,SAD,31.10,AAP,18.73
34,Jalandhar West (SC),Jalandhar (SC),Jalandhar,70-75,0-5,25-30,37.97,0-5,95-100,85-90,85-90,80-85,BJP,51.34,INC,39.26,BSP,5.00,INC,47.25,SAD,26.37,AAP,21.02
35,Jalandhar Central,Jalandhar (SC),Jalandhar,75-80,0-5,20-25,22.14,0-5,95-100,85-90,90-95,85-90,BJP,46.14,INC,45.04,BSP,4.80,INC,39.42,SAD,29.33,AAP,25.89
36,Jalandhar North,Jalandhar (SC),Jalandhar,75-80,0-5,20-25,21.71,0-5,95-100,85-90,85-90,80-85,BJP,44.90,INC,43.43,BSP,6.59,INC,45.31,SAD,30.33,AAP,18.93
37,Jalandhar Cantt.,Jalandhar (SC),Jalandhar,60-65,0-5,30-35,34.95,20-25,70-75,85-90,85-90,80-85,SAD,42.08,INC,36.15,BSP,12.44,INC,36.44,AAP,27.87,SAD,27.85
38,Adampur (SC),Jalandhar (SC),Jalandhar,45-50,0-5,45-50,46.16,75-80,20-25,80-85,85-90,75-80,SAD,43.87,INC,26.29,BSP,23.11,INC,32.78,SAD,28.53,AAP,26.81
39,Mukerian,Hoshiarpur (SC),Hoshiarpur,70-75,0-5,20-25,22.39,80-85,10-15,85-90,85-90,80-85,IND,43.49,BJP,33.72,INC,10.90,BJP,44.34,INC,30.09,AAP,20.35
40,Dasuya,Hoshiarpur (SC),Hoshiarpur,60-65,0-5,30-35,24.06,75-80,20-25,85-90,85-90,80-85,BJP,47.52,INC,42.42,PPOP,4.47,BJP,39.05,INC,34.29,AAP,20.89
