AC No., AC ,PC,District,Percentage of total population,,,,,Literacy Rate,,,Assembly Election - 2012,,,,,,Assembly Segment of Parliamentary Election - 2014,,,,,
,,,,Hindu Range,Muslim Range,SC%,Rural Range,Urban Range,Person,Male,Female,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age
30,Bilari,Sambhal,Moradabad,65-70,30-35,21.85,85-90,10-15,45-50,60-65,35-40,SP,29.45,BSP,28.63,BJP,8.85,BJP,37.28,SP,31.45,BSP,22.25
31,Chandausi (SC),Sambhal,Moradabad,70-75,20-25,22.92,65-70,30-35,50-55,60-65,40-45,SP,29.11,BJP,27.03,BSP,26.85,BJP,49.39,BSP,22.08,SP,20.37
32,Asmoli,Sambhal,Moradabad,60-65,30-35,18.02,95-100,0-5,50-55,60-65,35-40,SP,35.36,BSP,22.73,BJP,13.78,SP,32.22,BJP,30.94,BSP,24.36
33,Sambhal,Sambhal,Moradabad,35-40,60-65,12.60,50-55,45-50,45-50,50-55,40-45,SP,40.70,BJP,25.38,BSP,23.56,SP,44.66,BJP,25.54,BSP,24.24
34,Suar,Rampur,Rampur,30-35,60-65,11.56,75-80,20-25,50-55,60-65,40-45,INC,33.26,BJP,25.04,SP,22.68,SP,36.20,BJP,30.61,INC,23.32
35,Chamraua,Rampur,Rampur,30-35,55-60,8.94,95-100,0-5,45-50,55-60,35-40,BSP,22.42,SP,21.30,INC,17.02,SP,41.60,BJP,29.27,INC,19.79
36,Bilaspur,Rampur,Rampur,50-55,35-40,15.76,80-85,10-15,55-60,60-65,45-50,INC,27.20,SP,21.96,BSP,18.66,BJP,45.24,SP,28.97,INC,13.09
37,Rampur,Rampur,Rampur,35-40,60-65,6.15,25-30,70-75,55-60,60-65,50-55,SP,55.31,INC,18.77,BSP,9.57,SP,45.19,BJP,33.04,INC,16.73
38,Milak (SC),Rampur,Rampur,65-70,30-35,22.52,85-90,10-15,50-55,60-65,40-45,SP,31.54,INC,20.34,BSP,19.41,BJP,46.81,SP,25.40,BSP,14.36
39,Dhanaura (SC),Amroha,Jyotiba Phule Nagar,65-70,30-35,21.22,70-75,20-25,65-70,75-80,55-60,SP,28.38,BSP,24.48,RLD,15.65,BJP,52.78,SP,26.95,BSP,17.19
40,Naugawan Sadat,Amroha,Jyotiba Phule Nagar,60-65,35-40,16.90,90-95,5-10,65-70,75-80,55-60,SP,27.47,BSP,25.66,RLD,18.12,BJP,49.93,SP,34.28,BSP,12.94
41,Amroha,Amroha,Jyotiba Phule Nagar,35-40,60-65,12.48,45-50,50-55,60-65,70-75,50-55,SP,34.40,BJP,22.06,BSP,18.60,SP,54.69,BJP,32.19,BSP,10.13
42,Hasanpur,Amroha,Jyotiba Phule Nagar,65-70,30-35,17.99,80-85,15-20,55-60,65-70,40-45,SP,42.07,BSP,27.47,BJP,19.39,BJP,50.54,SP,33.68,BSP,12.97
43,Siwalkhas,Baghpat,Meerut,65-70,30-35,16.91,90-95,5-10,70-75,75-80,55-60,SP,31.28,RLD,29.37,BSP,23.52,BJP,33.97,SP,27.15,RLD,19.32
44,Sardhana,Muzaffarnagar,Meerut,70-75,25-30,19.65,70-75,20-25,70-75,80-85,55-60,BJP,29.09,RLD,23.38,SP,22.38,BJP,56.51,BSP,28.46,SP,11.03
45,Hastinapur (SC),Bijnor,Meerut,65-70,25-30,21.39,70-75,25-30,70-75,80-85,60-65,SP,25.31,PECP,21.71,INC,21.12,BJP,47.60,BSP,26.42,SP,21.60
46,Kithore,Meerut,Meerut,55-60,35-40,19.30,90-95,5-10,65-70,75-80,55-60,SP,36.30,BSP,30.78,RLD,17.30,BJP,42.62,BSP,28.32,SP,25.81
47,Meerut Cantt.,Meerut,Meerut,60-65,35-40,20.90,0-5,95-100,80-85,85-90,75-80,BJP,34.86,BSP,33.08,INC,21.98,BJP,64.99,BSP,18.80,INC,6.68
48,Meerut,Meerut,Meerut,60-65,35-40,7.62,0-5,95-100,70-75,75-80,65-70,BJP,38.04,SP,34.54,INC,17.80,BJP,42.75,SP,27.34,BSP,24.09
49,Meerut South,Meerut,Meerut,65-70,30-35,17.87,5-10,85-90,70-75,75-80,60-65,BJP,32.79,BSP,28.31,SP,22.49,BJP,42.44,BSP,33.26,SP,18.88
50,Chhaprauli,Baghpat,Baghpat,70-75,20-25,10.82,85-90,10-15,70-75,80-85,55-60,RLD,47.69,BSP,32.86,SP,9.69,BJP,38.57,RLD,31.23,SP,18.30
51,Baraut,Baghpat,Baghpat,70-75,20-25,11.53,70-75,20-25,70-75,80-85,60-65,BSP,39.12,RLD,35.24,SP,10.40,BJP,47.16,RLD,22.29,SP,18.13
52,Baghpat,Baghpat,Baghpat,70-75,25-30,11.98,70-75,25-30,70-75,80-85,60-65,BSP,34.54,RLD,29.90,SP,25.22,BJP,43.89,SP,26.44,RLD,13.93
53,Loni,Ghaziabad,Ghaziabad,65-70,30-35,13.57,15-20,80-85,70-75,80-85,60-65,BSP,41.52,RLD,29.82,BJP,22.39,BJP,48.68,INC,17.80,BSP,12.86
54,Muradnagar,Ghaziabad,Ghaziabad,80-85,15-20,13.19,20-25,75-80,80-85,85-90,75-80,BSP,26.43,SP,24.75,BJP,24.33,BJP,63.11,INC,14.87,BSP,11.98
55,Sahibabad,Ghaziabad,Ghaziabad,60-65,35-40,10.67,0-5,95-100,80-85,85-90,75-80,BSP,37.26,BJP,29.97,INC,15.34,BJP,62.44,INC,11.98,AAP,10.88
56,Gaziabad,Ghaziabad,Ghaziabad,90-95,5-10,21.45,0-5,95-100,80-85,85-90,75-80,BSP,35.57,BJP,28.88,INC,20.49,BJP,56.35,BSP,18.02,INC,15.85
57,Modi Nagar,Baghpat,Ghaziabad,75-80,15-20,19.05,45-50,50-55,75-80,85-90,65-70,RLD,33.08,BSP,25.21,SP,23.31,BJP,48.42,BSP,19.28,SP,15.89
58,Dholana,Ghaziabad,Ghaziabad,60-65,35-40,16.34,75-80,20-25,70-75,80-85,60-65,SP,29.24,BSP,24.62,BJP,18.15,BJP,46.72,SP,20.84,BSP,16.99
59,Hapur (SC),Meerut,Ghaziabad,65-70,30-35,26.87,40-45,50-55,70-75,80-85,60-65,INC,41.78,BSP,29.80,BJP,17.22,BJP,45.30,BSP,30.00,SP,18.50
60,Garhmukteshwar,Amroha,Ghaziabad,65-70,25-30,19.81,85-90,10-15,70-75,80-85,55-60,SP,43.31,BSP,33.79,RLD,16.98,BJP,53.31,SP,22.37,BSP,20.81
61,Noida,Gautam Buddh Nagar,Gautam Buddha Nagar,85-90,5-10,14.54,55-60,40-45,80-85,90-95,80-85,BJP,36.87,BSP,23.67,SP,20.06,BJP,64.86,SP,11.50,BSP,9.40
62,Dadri,Gautam Buddh Nagar,Gautam Buddha Nagar,80-85,15-20,14.40,55-60,40-45,75-80,85-90,65-70,BSP,40.68,BJP,21.98,INC,18.94,BJP,44.78,SP,34.14,BSP,15.75
63,Jewar,Gautam Buddh Nagar,Gautam Buddha Nagar,80-85,15-20,21.02,75-80,20-25,70-75,80-85,55-60,BSP,37.82,INC,32.50,SP,19.70,BJP,39.20,SP,35.38,BSP,21.21
64,Sikandrabad,Gautam Buddh Nagar,Bulandshahr,70-75,25-30,18.56,70-75,25-30,70-75,80-85,55-60,BJP,22.31,BSP,22.25,SP,21.20,BJP,44.90,SP,33.40,BSP,17.86
65,Bulandshahr,Bulandshahr (SC),Bulandshahr,60-65,30-35,17.24,50-55,40-45,70-75,80-85,60-65,BSP,37.18,BJP,33.81,RLD,10.32,BJP,54.86,BSP,18.73,SP,18.07
66,Syana,Bulandshahr (SC),Bulandshahr,80-85,15-20,17.90,80-85,15-20,65-70,80-85,55-60,INC,25.79,BSP,25.00,JaKP,20.33,BJP,64.41,BSP,15.15,RLD,12.10
67,Anupshahr,Bulandshahr (SC),Bulandshahr,75-80,20-25,19.95,75-80,20-25,65-70,75-80,50-55,BSP,26.53,SP,24.73,JaKP,21.17,BJP,56.93,BSP,18.95,SP,14.59
68,Debai,Bulandshahr (SC),Bulandshahr,85-90,5-10,18.28,85-90,10-15,65-70,75-80,50-55,SP,34.37,JaKP,32.40,BSP,20.83,BJP,66.70,BSP,14.12,SP,13.23
69,Shikarpur,Bulandshahr (SC),Bulandshahr,80-85,15-20,26.46,80-85,15-20,65-70,80-85,50-55,SP,34.98,BSP,30.43,RLD,24.58,BJP,56.90,BSP,23.58,SP,13.35
70,Khurja (SC),Gautam Buddh Nagar,Bulandshahr,75-80,20-25,27.36,65-70,25-30,65-70,80-85,55-60,INC,47.13,BSP,29.36,BJP,18.19,BJP,52.11,SP,22.53,BSP,20.59
71,Khair (SC),Aligarh,Aligarh,85-90,5-10,23.81,85-90,5-10,70-75,80-85,55-60,RLD,48.76,BSP,28.53,BJP,13.88,BJP,53.25,BSP,27.90,SP,9.51
72,Barauli,Aligarh,Aligarh,85-90,10-15,22.53,80-85,10-15,70-75,80-85,55-60,RLD,39.43,BSP,33.54,JaKP,14.97,BJP,52.61,BSP,29.25,SP,11.52
73,Atrauli,Aligarh,Aligarh,85-90,5-10,18.07,90-95,5-10,60-65,70-75,45-50,SP,26.63,JaKP,22.32,BSP,20.63,BJP,45.06,SP,24.36,BSP,19.28
74,Chharra,Hathras (SC),Aligarh,80-85,15-20,19.49,80-85,15-20,60-65,70-75,50-55,SP,27.96,BSP,25.49,JaKP,12.66,BJP,49.50,SP,22.51,BSP,19.94
75,Koil,Aligarh,Aligarh,65-70,30-35,16.37,30-35,65-70,70-75,75-80,60-65,SP,25.42,INC,25.08,BJP,19.69,BJP,44.06,SP,28.12,BSP,17.10
76,Aligarh,Aligarh,Aligarh,55-60,40-45,19.85,0-5,95-100,60-65,65-70,55-60,SP,36.95,BJP,24.46,BSP,14.83,BJP,46.12,SP,33.85,BSP,12.87
