No. of AC,Name of AC,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,
,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Dera Baba Nanak,INC,Sukhjinder Singh Randhawa,60385,42.83,SAD,Sucha Singh Langah,59191,41.98,1194,0.85,AAP,Gurpartap Singh Khushalpur,17222,12.21,APP,Deepinder Singh,1249,0.89,IND,Sukhwinder Singh,627,0.44,961,0.68,1361,0.97,140996,IND,Dominic Mattu,514,0.36,IND,Dorthi,301,0.21,BSP,Jasbir Singh,267,0.19,AITC,Baljit Singh,167,0.12,HUP,Surjit Singh,112,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ajnala,INC,Harpartap Singh,61378,50.52,SAD,Amarpal Singh Bony Ajnala,42665,35.12,18713,15.40,AAP,Rajpreet Singh,12749,10.49,BSP,Balwinder Singh,860,0.71,IND,Rattan Singh,502,0.41,641,0.53,2692,2.22,121487,RMPI,Gurnam Singh,411,0.34,IND,Dhanwant Singh,404,0.33,SAD(A)(M),Amrik Singh,380,0.31,IND,Nirmal Singh,308,0.25,SHS,Pawan Sareen,264,0.22,APP,Rabart Masih,262,0.22,BSP(A),Satnam Singh,218,0.18,IND,Kulwinder Singh,168,0.14,IND,Sukhdev Singh Baba,145,0.12,BMUP,Harpreet Singh,132,0.11,,,,,,,,,,,,
12,Raja Sansi,INC,Sukhbinder Singh Sarkaria,59628,45.17,SAD,Vir Singh Lopoke,53901,40.83,5727,4.34,AAP,Jagjot Singh Dhillon,13213,10.01,RMPI,Virsa Singh,1040,0.79,DPI(A),Sardool Singh,824,0.62,917,0.69,2485,1.88,132008,BSP,Lakhbir Singh,819,0.62,IND,Sharanjit Singh,478,0.36,IND,Yadwinder Singh,424,0.32,IND,Balwinder Singh,416,0.32,APP,Kulwant Singh,348,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Majitha,SAD,Bikram Singh Majithia,65803,53.67,INC,Sukhjinder Raj Singh (Lalli),42919,35.01,22884,18.66,AAP,Himmat Singh Shergill,10252,8.36,BSP,Surjit Singh,700,0.57,SAD(A)(M),Kulwant Singh,657,0.54,924,0.75,1353,1.10,122608,IND,Himmat Singh,457,0.37,IND,Waryam Singh,257,0.21,IND,Gagandeep Kumar,224,0.18,IND,Sukhjinder Singh,221,0.18,IND,Sukhjinder Singh Tanel,194,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Jandiala (SC),INC,Sukhwinder Singh Danny Bandala,53042,42.21,SAD,Dalbir Singh,34620,27.55,18422,14.66,AAP,Harbhajan Singh E. T. O.,33912,26.99,BSP,Satpal Singh Pakhoke,814,0.65,BSP(A),Hardeep Singh,679,0.54,843,0.67,1741,1.39,125651,DPI(A),Vikramjit Singh,669,0.53,IND,Harbhajan Singh Jandiala,581,0.46,APP,Dalip Singh,491,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Amritsar North,INC,Sunil Dutti,59212,50.14,BJP,Anil Joshi,44976,38.09,14236,12.06,AAP,Manish Aggarwal,10966,9.29,BSP,Manjit Singh,603,0.51,IND,Roop Lal,205,0.17,972,0.82,1150,0.97,118084,ABSD,Sushil Kumar,203,0.17,IND,Parbodh Chander Bali,184,0.16,IND,Bal Krishan Sharma,162,0.14,HSS,Hindustan Shakti Sena,155,0.13,SLDP,Gaurav Mehra,151,0.13,APP,Manish Shridhar,133,0.11,IND,Sarabjit Singh,103,0.09,IND,Jeewan,59,0.05,,,,,,,,,,,,,,,,,,,,
16,Amritsar West (SC),INC,Raj Kumar Verka,52271,48.60,BJP,Rakesh Gill,25424,23.64,26847,24.96,AAP,Balwinder Singh Sahota,24731,22.99,CPI,Gurnam Kaur,1725,1.60,BSP,Jaswant Singh,847,0.79,810,0.75,1742,1.62,107550,ABSD,Satnam Singh,409,0.38,DSP,Balwinder Singh,407,0.38,SLDP,Lakhbir Singh,292,0.27,APP,Kulwant Singh,255,0.24,IND,Ankush,202,0.19,DCP,Sham Lal Gandhiwadi,177,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Amritsar Central,INC,Om Parkash Soni,51242,56.49,BJP,Tarun Chugh,30126,33.21,21116,23.28,AAP,Ajay Gupta,7171,7.91,BSP,Rajesh Kumar,500,0.55,IND,Avtar Singh,182,0.20,919,1.01,568,0.63,90708,IND,Sikander,164,0.18,DSP,Ashok Kumar,162,0.18,APP,Keshav Kohli,134,0.15,IND,Om Parkash,108,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Amritsar East,INC,Navjot Singh Sidhu,60477,60.68,BJP,Rajesh Kumar Honey,17668,17.73,42809,42.95,AAP,Sarabjot Singh Dhanjal,14715,14.76,IND,Mandeep Singh Manna,1863,1.87,CPI,Baldev Singh,1586,1.59,537,0.54,2818,2.83,99664,BSP,Tarsem Singh,1237,1.24,IND,Sukhwinder Singh,311,0.31,APP,Narinder Singh,288,0.29,RPI(A),Sandeep Singh,165,0.17,DPI(A),Amita,150,0.15,IND,Gurjit Kaur,145,0.15,IND,Parminder Kaur,141,0.14,ABSD,Sant Baldev Singh Rathor,138,0.14,BMUP,Tarsem Lal,130,0.13,IND,Amarjit Singh,113,0.11,,,,,,,,,,,,
19,Amritsar South,INC,Inderbir Singh Bolaria,47581,50.96,AAP,Inderbir Singh Nijjar,24923,26.70,22658,24.27,SAD,Gurpartap Singh Tikka,16596,17.78,IND,Maninder Pal Singh Palasour,1343,1.44,CPI,Lakhwinder Singh,726,0.78,723,0.77,1469,1.57,93361,BSP,Sushil Kumar,446,0.48,DSP,Dr. Suba Singh,249,0.27,APP,Kuldip Singh,219,0.23,IND,Sarabjit Singh,219,0.23,IND,Deepak,141,0.15,IND,Dalvir Kaur,110,0.12,IND,Amarjit Singh,85,0.09,,,,,,,,,,,,,,,,,,,,,,,,
