No. of AC,Name of AC,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,
,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Chabbewal (SC),INC,Dr. Raj Kumar,57857,49.96,SAD,Sohan Singh Thandal,28596,24.69,29261,25.26,AAP,Raman Kumar,20505,17.70,BSP,Gurlal Saila,5585,4.82,IND,Balwinder Singh Bittu,571,0.49,842,0.73,1862,1.61,115818,BDP,Gurnam Singh,566,0.49,IVD,Surinder Singh,542,0.47,SAD(A)(M),Jagdish Singh,469,0.40,APP,Gurjit Singh,285,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Garhshankar,AAP,Jai Krishan,41720,33.20,SAD,Surinder Singh Heer,40070,31.89,1650,1.31,INC,Lov Kumar Goldy,31909,25.39,BSP,Bakhshish Singh,6031,4.80,CPIM,Harbhajan Singh,2217,1.76,1121,0.89,2590,2.06,125658,APP,Surjit Singh Randhawa,468,0.37,IND,Jai Gopal Dhiman,412,0.33,SAD(A)(M),Pashora Singh,408,0.32,AITC,Manjit Singh,379,0.30,IND,Subhash Chander Dhir,366,0.29,BDP,Bishan Dass,282,0.22,IND,Nimisha Mehta,275,0.22,,,,,,,,,,,,,,,,,,,,,,,,
46,Banga (SC),SAD,Sukhwinder Kumar,45256,36.93,AAP,Harjot,43363,35.39,1893,1.54,INC,Satnam Singh Kainth,13408,10.94,BSP,Rajinder Singh,11874,9.69,IND,Tarlochan Singh,6294,5.14,758,0.62,1580,1.29,122533,CPI,Paul Ram,986,0.80,APP,Sarabjit Singh,594,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Nawan Shahr,INC,Angad Singh,38197,29.70,SAD,Jarnail Singh Wahid,34874,27.11,3323,2.58,AAP,Charanjit Singh Channi,32341,25.14,BSP,Dr. Nachhatar Pal,19578,15.22,CPIM,Hitesh Kumar Pathak,881,0.68,844,0.66,1904,1.48,128619,IND,Surinder Singh,831,0.65,IND,Yog Raj Sahota,442,0.34,APP,Ashwani Joshi,364,0.28,IND,Raj Kumar Narang,267,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Balachaur,INC,Darshan Lal,49558,42.21,SAD,Nand Lal,29918,25.48,19640,16.73,AAP,Raj Kumar,21656,18.44,BSP,Baljit Singh,12372,10.54,CPIM,Parmjit Singh,1176,1.00,877,0.75,1865,1.59,117422,APP,Jarnail Singh,662,0.56,IND,Avtar Singh,363,0.31,IND,Hargopal Singh,339,0.29,IND,Pala Singh,257,0.22,IND,Charan Dass,244,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Anandpur Sahib,INC,Kanwar Pal Singh,60800,45.01,BJP,Dr. Parminder Sharma,36919,27.33,23881,17.68,AAP,Sanjeev Gautam,30304,22.43,IND,Nutan Kumar Urf Nitin Nanda,2092,1.55,BSP,Gurcharan Singh Khalsa,1442,1.07,858,0.64,2663,1.97,135078,CPIM,Mohinder Singh,1026,0.76,IND,Pritam Singh Bharatgarh,602,0.45,PDP,Subhash Chander Sharma,518,0.38,SAD(A)(M),Harbhjn Singh,517,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Rupnagar,AAP,Amarjit Singh Sandoa,58994,45.35,INC,Brinder Singh Dhillon,35287,27.13,23707,18.22,SAD,Dr. Daljit Singh Cheema,31903,24.52,BSP,Makhan Singh,1081,0.83,CPI,B.S. Saini,997,0.77,917,0.70,905,0.70,130084,DSP,Jorawar Singh,652,0.50,IND,Sachin Kumar,253,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Chamkaur Sahib (SC),INC,Charanjit Singh Channi,61060,42.00,AAP,Charanjit Singh,48752,33.53,12308,8.47,SAD,Justice Nirmal Singh,31452,21.63,BSP,Rajinder Singh,1610,1.11,PDP,Harjinder Singh,587,0.40,911,0.63,1020,0.70,145392,IND,Jagdish Singh,428,0.29,APP,Parminder Kaur,332,0.23,JJJKP,Shinderpal Singh,260,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Kharar,AAP,Kanwar Sandhu,54171,33.97,INC,Jagmohan Singh Kang,52159,32.71,2012,1.26,SAD,Ranjit Singh Gill,46807,29.35,BSP,Harbhajan Singh,2619,1.64,SAD(A)(M),Jagwinder Singh,818,0.51,1059,0.66,1845,1.16,159478,APP,Sudesh Kumar,631,0.40,IND,Paramjit Singh Padda,350,0.22,IND,Sanjeev Kumar,349,0.22,PDP,Gurjeet Singh,274,0.17,JJJKP,Surjit Singh,241,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,S.A.S.Nagar,INC,Balbir Singh Sidhu,66844,47.47,AAP,Narinder Singh,38971,27.68,27873,19.80,SAD,Tejinder Pal Singh,30031,21.33,BSP,Sarbjit Singh,1027,0.73,HSS,Amit Sharma,370,0.26,1139,0.81,2421,1.72,140803,IND,Parneet Singh Pandher,340,0.24,DSP,Balwinder Singh,328,0.23,AITC,Jaswinder Singh,316,0.22,IND,Kamaljot Kaur,314,0.22,PDP,Gurkirpal Singh Mann,284,0.20,APP,Mahinder Pal Singh,255,0.18,IND,Kuljit Singh,230,0.16,IND,Paramjit Singh Padda,168,0.12,BMUP,Kishor Kumar Pal,100,0.07,B(I)RP,Krishan Gopal Sharma,86,0.06,,,,,,,,,,,,
54,Bassi Pathana (SC),INC,Gurpreet Singh,47319,41.55,AAP,Santokh Singh,37273,32.73,10046,8.82,SAD,Darbara Singh Guru,24852,21.82,SAD(A)(M),Dharam Singh,1618,1.42,BSP,Mohinder Singh,819,0.72,728,0.64,1272,1.12,113881,IND,Gurdeep Singh,456,0.40,IND,Harnek Singh Diwana,310,0.27,SAKP,Samunder Singh,265,0.23,APP,Manjinder Singh,241,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Fatehgarh Sahib,INC,Kuljit Singh Nagra,58205,46.65,SAD,Didar Singh Bhatti,34338,27.52,23867,19.13,AAP,Lakhvir Singh Rai,29393,23.56,SAD(A)(M),Kuldip Singh,1589,1.27,APP,Tarlochan Singh,449,0.36,803,0.64,0,0.00,124777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Amloh,INC,Randeep Singh,39669,34.96,SAD,Gurpreet Singh Raju Khanna,35723,31.49,3946,3.48,AAP,Gurpreet Singh Bhatti,30573,26.95,IND,Jagmeet Singh Sahota,3187,2.81,SAD(A)(M),Lakhvir Singh,1144,1.01,841,0.74,2317,2.04,113454,BSP,Ram Singh,942,0.83,IND,Navab Ali,432,0.38,IND,Rajinder Singh,359,0.32,HSS,Sanjiv Kumar Pilot,222,0.20,IND,Gurpreet Singh Bhatti Amampura,213,0.19,JJJKP,Gurjinder Singh,149,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Khanna,INC,Gurkirat Singh Kotli,55690,44.00,AAP,Anil Dutt Phally,35099,27.73,20591,16.27,SAD,Ranjit Singh Talwandi,31845,25.16,BSP,Shashi Vardhan,1202,0.95,APP,Vijay Diamond,451,0.36,850,0.67,1445,1.14,126582,SAD(A)(M),Rajiv Vijan,446,0.35,IND,Chander Dev Singh,393,0.31,SPP,Dharamjit Singh,270,0.21,IND,Bhupinder Singh,174,0.14,RSP,Baljit Singh Sandhu,162,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Samrala,INC,Amrik Singh Dhillon,51930,38.47,AAP,Sarbans Singh Manki,40925,30.32,11005,8.15,SAD,Santa Singh Umaidpur,38114,28.24,SAD(A)(M),Shingara Singh,837,0.62,BSP,Dalvir Singh,687,0.51,1035,0.77,1458,1.08,134986,APP,Bhupinder Singh,473,0.35,DPI,Manohar Lal,407,0.30,SAKP,Dilbag Singh,386,0.29,RSP,Ashwani Kumar Dhand,192,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Sahnewal,SAD,Sharanjit Singh Dhillon,63184,37.73,INC,Satwinder Kaur Bitti,58633,35.01,4551,2.72,AAP,Harjot Singh Bains,39570,23.63,BSP,Surinder Kumar,1588,0.95,IND,Dalip Singh,624,0.37,1510,0.90,2373,1.42,167482,SAD(A)(M),Manbir Singh Grewal,586,0.35,J&KNPP,Sushil Kumar,411,0.25,IND,Daljeet Singh Bajwa,352,0.21,SPP,Jagvir Singh Jaggi,343,0.20,IND,Gurdeep Singh Kahlon,258,0.15,HSS,Nagender Kumar,244,0.15,BSD,Randhir Singh,179,0.11,,,,,,,,,,,,,,,,,,,,,,,,
60,Ludhiana East,INC,Sanjeev Talwar,43010,33.03,AAP,Daljit Singh Grewal (Bhola),41429,31.82,1581,1.21,SAD,Ranjit Singh Dhillon,41313,31.73,BSP,Gurpreet Singh,2076,1.59,SAD(A)(M),Jaswant Singh Cheema,659,0.51,1067,0.82,659,0.51,130213,AITC,Hardeep Singh (Bawa),371,0.28,IND,Ramesh Kumar,288,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Ludhiana South,LIP,Balvinder Singh Bains,53955,53.05,INC,Bhupinder Singh Sidhu,23038,22.65,30917,30.40,SAD,Hira Singh Gabria,20554,20.21,BSP,Charan Singh,1089,1.07,IND,Maninder Sharma,513,0.50,944,0.93,1620,1.59,101713,IND,Sunder Lal,507,0.50,DSP,Kunvar Ranjan Singh,496,0.49,APP,Parminder Singh Kuki,378,0.37,JJJKP,Darshan Singh Daba,239,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Atam Nagar,LIP,Simarjeet Singh Bains,53421,49.87,INC,Kamal Jit Singh Karwal,36508,34.08,16913,15.79,SAD,Gurmeet Singh Kular,14138,13.20,SAKP,Avtar Singh,685,0.64,SWP,Ravi Kumar Vaid,520,0.49,963,0.90,884,0.83,107119,IND,Shamsher Singh Grewal,219,0.20,IND,Ram Kishor Sharma,205,0.19,IND,Udham Singh Gill,183,0.17,IND,Rajesh Khokhar,144,0.13,NCP,Deepak,133,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Ludhiana Central,INC,Surinder Kumar Dawar,47871,46.47,BJP,Gurdev Sharma Debi,27391,26.59,20480,19.88,LIP,Vipan Sood Kaka,25001,24.27,AITC,Sushil Kumar,638,0.62,DSP,Rajeev Kumar,552,0.54,1064,1.03,495,0.48,103012,BSP,Akhlesh Singh,495,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Ludhiana West,INC,Bharat Bhushan (Ashu),66627,54.38,AAP,Ahbaab Singh Grewal,30106,24.57,36521,29.81,BJP,Kamal Chatly,22620,18.46,BSP,Kunal,456,0.37,NCP,Arun Kumar,272,0.22,1066,0.87,1368,1.12,122515,RPI(A),Jagroop Singh Karara,251,0.20,IND,Arshdeep Singh,247,0.20,IND,Baldev Raj Katna,211,0.17,IND,Navpreet Singh Bedi,199,0.16,APP,Balkaur Singh Gill,134,0.11,IND,Krishan Lal Babbar,109,0.09,LPSP,Ram Kumar,92,0.08,SWP,Mandeep Singh Dhaliwal,75,0.06,BMUP,Vaid Ram Singh Deepak,50,0.04,,,,,,,,,,,,,,,,
65,Ludhiana North,INC,Rakesh Pandey,44864,36.02,BJP,Parveen Bansal,39732,31.90,5132,4.12,LIP,Randhir Singh Sivia,20387,16.37,IND,Madan Lal Bagga,12136,9.74,IND,Hem Raj Aggarwal,3011,2.42,1307,1.05,3120,2.50,124557,BSP,Rajinder Kumar,1513,1.21,IND,Parveen Dang,624,0.50,J&KNPP,Jeet Sharma,339,0.27,IND,Rakesh Jain,245,0.20,SHS,Prem Bhushan Jain,204,0.16,BMUP,Joginder Lal,195,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Gill (SC),INC,Kuldeep Singh Vaid(Bulara),67927,37.48,AAP,Jiwan Singh Sangowal,59286,32.71,8641,4.77,SAD,Darshan Singh Shivalik,46476,25.65,BSP,Bikker Singh,3455,1.91,IND,Kartinder Pal Singh,886,0.49,1647,0.91,1547,0.85,181224,IND,Kuldeep Singh,414,0.23,IND,Darshan Singh,406,0.22,APP,Sukhpreet Singh,376,0.21,BMUP,Harbans Singh,179,0.10,IND,Sunit,172,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Payal (SC),INC,Lakhvir Singh Lakha,57776,43.95,AAP,Gurpreet Singh Lapran,36280,27.60,21496,16.35,SAD,Isher Singh Meharban,33044,25.14,SAD(A)(M),Gurvinder Singh,831,0.63,BSP,Dalbara Singh,618,0.47,702,0.53,2195,1.67,131446,DSP,Advocate Inderjit Singh,402,0.31,IND,Karan Kangra,363,0.28,APP,Captain Rampal Singh,347,0.26,AITC,Sandeep Singh,328,0.25,IND,Jagtar Singh,227,0.17,NCP,Kulwant Singh Cheema,186,0.14,IND,Samser Singh,186,0.14,IND,Prem Singh,156,0.12,,,,,,,,,,,,,,,,,,,,
68,Dakha,AAP,Harvinder Singh Phoolka,58923,40.28,SAD,Manpreet Singh Ayali,54754,37.43,4169,2.85,INC,Major Singh Bhaini,28571,19.53,DSP,Tarsem Jodhan,888,0.61,BSP,Jaswinder Singh,652,0.45,981,0.67,1518,1.04,146287,IND,Manpreet Singh Akali,564,0.39,SAD(A)(M),Joginder Singh,460,0.31,APP,Kulwant Singh,263,0.18,J&KNPP,Gursharan Singh Jassal,231,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Raikot (SC),AAP,Jagtar Singh Jagga Hissowal,48245,40.93,INC,Amar Singh,37631,31.93,10614,9.01,SAD,Inder Iqbal Singh Atwal,29019,24.62,BSP,Surinder Singh,878,0.74,CPIM,Mota Singh,662,0.56,816,0.69,611,0.52,117862,IND,Daljit Singh,309,0.26,BMUP,Sikandar Singh,302,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Jagraon (SC),AAP,Saravjit Kaur Manuke,61521,45.35,INC,Malkit Singh Dakha,35945,26.50,25576,18.85,SAD,Amarjit Kaur Sahoke,33295,24.54,IND,Avtar Singh Billa,1564,1.15,BSP,Subedar Sadhu Singh Tappar,591,0.44,996,0.73,1746,1.29,135658,CPIM,Baljit Singh,546,0.40,IND,Gurmit Singh,499,0.37,APP,Jasvir Singh,396,0.29,IND,Gurminder Kaur,305,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Nihal Singh Wala (SC),AAP,Manjit Singh,67313,44.47,INC,Rajwinder Kaur,39739,26.25,27574,18.22,SAD,S.R. Kaler,34865,23.03,CPI,Mohinder Singh,4196,2.77,SAD(A)(M),Kubdeep Singh,987,0.65,1010,0.67,3263,2.16,151373,BSP,Kewal Singh,823,0.54,IND,Bharbhur Singh,609,0.40,IND,Manjit Kaur,563,0.37,DSP,Jarmanjit Singh,518,0.34,IND,Ranjeet Singh,379,0.25,IND,Karam Chand,371,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Bhagha Purana,INC,Darshan Singh Brar,48668,35.25,AAP,Gurbinder Singh Kang,41418,30.00,7250,5.25,SAD,Tirath Singh Mahla,41283,29.90,IND,Parminder Singh,3931,2.85,BSP,Mander Singh,871,0.63,897,0.65,982,0.71,138050,NAIP,Nirmal Singh,610,0.44,OP,Sukhdev Raj,372,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Moga,INC,Harjot Kamal Singh,52357,35.99,AAP,Ramesh Grover,50593,34.78,1764,1.21,SAD,Barjinder Singh Makhan Brar,36587,25.15,IND,Manjeet Singh Maan,1801,1.24,BSP,Kulwant Singh,858,0.59,785,0.54,2482,1.71,145463,AITC,Sandhura Singh Daulatpura,569,0.39,SHS,Amar Kumar,488,0.34,IND,Rekha Kapoor,389,0.27,IND,Bhupinder Kaur,348,0.24,IND,Paramjit,310,0.21,HSS,Shriram Danwal,202,0.14,IND,Jagtar Singh,176,0.12,,,,,,,,,,,,,,,,,,,,,,,,
74,Dharamkot,INC,Sukhjit Singh,63238,43.92,SAD,Tota Singh,41020,28.49,22218,15.43,AAP,Daljit Singh,34615,24.04,CPI,Surat Singh,1325,0.92,SAD(A)(M),Balraj Singh,1089,0.76,1009,0.70,1700,1.18,143996,BSP,Jagga Singh,456,0.32,IND,Vikas,312,0.22,IKL,Baljit Singh,291,0.20,APP,Sukhpal Singh,258,0.18,IND,Manjit Kaur,197,0.14,BMUP,Gurdeep Singh,186,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Zira,INC,Kulbir Singh,69899,46.18,SAD,Hari Singh Zira,46828,30.94,23071,15.24,AAP,Gurpreet Singh,30947,20.44,SHS,Stephen Bhatti,665,0.44,BSP,Sukhwinder Singh,573,0.38,622,0.41,1839,1.21,151373,IND,Gurpreet Singh,502,0.33,IND,Dharminder Singh,345,0.23,IND,Gurpreet Singh,331,0.22,IND,Gurpreet Singh,198,0.13,IND,Kulbir Singh,195,0.13,IND,Kulbir Singh,147,0.10,IND,Kulbir Singh,121,0.08,,,,,,,,,,,,,,,,,,,,,,,,
76,Firozpur City,INC,Parminder Singh Pinki,67559,53.85,BJP,Sukhpal Singh,37972,30.27,29587,23.58,AAP,Narinder Singh,16202,12.92,BSP,Rakesh,796,0.63,SAD(A)(M),Tejinder Singh,470,0.37,934,0.74,1517,1.21,125450,IND,Rajinder,394,0.31,SHS,Mukesh Kumar,391,0.31,IND,Raj,310,0.25,IND,Mohinder Singh,176,0.14,IND,Parminder Singh,134,0.11,IND,Kashmir Singh,112,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Firozpur Rural (SC),INC,Satkar Kaur,71037,45.33,SAD,Joginder Singh Jindu,49657,31.69,21380,13.64,AAP,Mohan Singh Phallian Wala,32011,20.43,IND,Joginder Singh,924,0.59,BSP,Puran,698,0.45,920,0.59,1465,0.93,156712,SAD(A)(M),Lal Singh Sulhani,498,0.32,IND,Amarjit Singh Gharu,276,0.18,SWP,Badal Singh,261,0.17,IND,Sunny Kumar,228,0.15,IND,Sajan,202,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Guru Har Sahai,INC,Gurmeet Singh Sodhi,62787,45.73,SAD,Vardev Singh,56991,41.51,5796,4.22,AAP,Malkit Chand,14282,10.40,BSP,Gurmukh Singh,530,0.39,SAD(A)(M),Iqbal Singh,462,0.34,724,0.53,1522,1.11,137298,IND,Gurmit Singh,413,0.30,IND,Gurmeet Singh Sodhi,245,0.18,IND,Manoj Kumar,192,0.14,IND,Gurmit Singh,166,0.12,IKL,Harbhajan Singh,123,0.09,IND,Sham Lal,99,0.07,IND,Swaran Singh Alias Rocky,93,0.07,APP,Raj Kumar,65,0.05,IND,Sandeep Singh,64,0.05,SPP,Kulwant Singh,62,0.05,,,,,,,,,,,,
79,Jalalabad,SAD,Sukhbir Singh Badal,75271,44.53,AAP,Bhagwant Mann,56771,33.58,18500,10.94,INC,Ravneet Singh Bittu,31539,18.66,CPI,Surinder Singh,1743,1.03,IND,Balwinder Singh,653,0.39,1112,0.66,1960,1.16,169049,BSP,Malkit Singh,528,0.31,APP,Bakhshish Singh,366,0.22,IND,Mukhtiar Singh,351,0.21,SAD(A)(M),Gurmit Singh,350,0.21,IND,Swaran Singh Rocky,196,0.12,IND,Joginder Singh,169,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Fazilka,INC,Davinder Singh Ghubaya,39276,27.45,BJP,Surjit Kumar Jyani,39011,27.27,265,0.19,IND,Rajdeep Kaur,38135,26.65,AAP,Samarbir Singh Sidhu,16404,11.47,APP,Kirti Choudhary,3892,2.72,669,0.47,5686,3.97,143073,IND,Ramesh Kataria,2321,1.62,IND,Vinod Kumar,639,0.45,BSP,Harjeet Singh,630,0.44,IND,Naginder Singh,511,0.36,IND,Rachna Kataria,383,0.27,IND,Surya Prakash,344,0.24,IKL,Gurjinder Singh,290,0.20,SAD(A)(M),Makhan Singh,227,0.16,IND,Arun,189,0.13,IND,Kashmir Singh,152,0.11,,,,,,,,,,,,
81,Abohar,BJP,Arun Narang,55091,44.03,INC,Sunil Jakhar,51812,41.41,3279,2.62,AAP,Atul Nagpal,13888,11.10,BSP,Prithi Raj,642,0.51,IND,Nathu Ram,614,0.49,1212,0.97,1870,1.49,125129,IND,Dilbag Singh,550,0.44,RMPI,Ram Kumar,414,0.33,IND,Gurjant Singh,335,0.27,IND,Ashok Kumar,298,0.24,IND,Shiv Lal Doda,165,0.13,IND,Amit Doda,108,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Balluana (SC),INC,Nathu Ram,65607,45.96,SAD,Parkash Singh Bhatti,50158,35.14,15449,10.82,AAP,Simarjeet Singh,22464,15.74,AITC,Giri Raj Rajora,1072,0.75,BSP,Satish Kumar,888,0.62,1175,0.82,1372,0.96,142736,IND,Vinod Kumar,705,0.49,NAIP,Gurmail Singh,667,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Lambi,SAD,Parkash Singh,66375,49.54,INC,Amarinder Singh,43605,32.54,22770,16.99,AAP,Jarnail Singh,21254,15.86,PLP,Gurmeet Singh Ranghreta,730,0.54,SAD(A)(M),Baljinder Singh,531,0.40,1101,0.82,391,0.29,133987,APP,Manmander Singh,391,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Gidderbaha,INC,Amrinder Singh @ Raja Warring,63500,45.61,SAD,Hardeep Singh @ Dimpy Dhillon,47288,33.96,16212,11.64,AAP,Jagdeep Singh,25334,18.20,CPI,Jagrup Singh,840,0.60,BSP,Sheela Rani,582,0.42,885,0.64,798,0.57,139227,IND,Om Parkash,442,0.32,NAIP,Tek Singh,356,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Malout (SC),INC,Ajaib Singh Bhatti,49098,36.05,SAD,Darshan Singh,44109,32.39,4989,3.66,AAP,Principal Baldev Singh,38663,28.39,CPI,Gurtej Singh,1130,0.83,BSP,Sukhdev Singh,1039,0.76,899,0.66,1256,0.92,136194,IND,Baldev Singh,864,0.63,IND,Resham Singh,392,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Muktsar,SAD,Kanwarjit Singh,44894,30.52,INC,Karan Kaur,36914,25.10,7980,5.43,AAP,"Jagdeep Singh ""Kaka Brar""",33201,22.57,IND,Sukhdarshan Singh Mrar,28204,19.18,BSP,Ashok Kumar,741,0.50,858,0.58,2272,1.54,147084,IND,Baljit Singh,614,0.42,RMPI,Harjit Singh,586,0.40,IND,Ripendeep Kaur,450,0.31,IND,Alwinder Singh,426,0.29,APP,Rajesh Garg,196,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Faridkot,INC,Kusaldeep Singh Kiki Dhillon,51026,40.36,AAP,Gurdit Singh Sekhon,39367,31.14,11659,9.22,SAD,Parambans Singh Bunty Romana,32612,25.80,BSP,Gurbax Singh Chauhan,1031,0.82,APP,Hardip Singh Kingra,456,0.36,759,0.60,1169,0.92,126420,IND,Bunty,374,0.30,DSP,Ravinder Pal Kaur,316,0.25,IND,Prem Singh Safri,271,0.21,IND,Dr. Jiwan Jot Kaur,208,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Kotkapura,AAP,Kultar Singh Sandhwan,47401,38.76,INC,Bhai Harnirpal Singh Kukku,37326,30.52,10075,8.24,SAD,Mantar Singh Brar,33895,27.71,BSP,Avtar Krishan,1278,1.04,IND,Gurdeep Singh,585,0.48,674,0.55,1144,0.94,122303,APP,Surinder Kumar Dwivedi,524,0.43,NAIP,Jagroop Singh,342,0.28,IND,Ramesh Kumar,278,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Jaitu (SC),AAP,Baldev Singh,45344,37.84,INC,Mohammad Sadique,35351,29.50,9993,8.34,SAD,Manjit Singh @ Suba Singh,33064,27.59,CPI,Balvir Singh,1298,1.08,BSP,Kikar Singh,1221,1.02,677,0.56,2889,2.41,119844,SAD(A)(M),Gurdeep Singh,785,0.66,APP,Harpal Singh,636,0.53,AITC,Avtar Singh Sahota,448,0.37,IND,Gurpreet Singh,387,0.32,RPI(A),Pyara Singh,337,0.28,IND,Jaswinder Singh,296,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Rampura Phul,INC,Gurpreet Singh Kangar,55269,40.46,SAD,Sikander Singh Maluka,44884,32.86,10385,7.60,AAP,Manjit Singh Sidhu,32693,23.93,IND,Paramjit Singh Sidhu,666,0.49,BSP,Avtar Singh,648,0.47,445,0.33,2002,1.47,136607,IND,Manjit Singh,579,0.42,IND,Gurpreet Singh Mehraj,350,0.26,IND,Jaswant Singh Sidhu,347,0.25,IND,Sikander Singh,255,0.19,IND,Charan Singh,182,0.13,IND,Gurpreet Singh,84,0.06,IND,Karamjit Singh,77,0.06,IND,Gurpreet Singh,75,0.05,IND,Simarjit Singh,53,0.04,,,,,,,,,,,,,,,,
91,Bhucho Mandi (SC),INC,Pritam Singh Kotbhai,51605,34.04,AAP,Jagsir Singh,50960,33.61,645,0.43,SAD,Harpreet Singh,44025,29.04,IND,Kiranjit Singh Gehri,1775,1.17,BSP,Mumtaj,1137,0.75,711,0.47,1395,0.92,151608,AITC,Surinder Pal Somi Tungwalia,985,0.65,IND,Baldev Singh,410,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Bathinda Urban,INC,Manpreet Singh Badal,63942,42.24,AAP,Deepak Bansal,45462,30.03,18480,12.21,SAD,Sarup Chand Singla,37177,24.56,BSP,Suresh Kumar,913,0.60,IND,Satish Kumar,526,0.35,1208,0.80,2164,1.43,151392,SHS,Parveen Hiteshi,418,0.28,BMUP,Sant Lal,382,0.25,IND,Bimla Rani,337,0.22,APP,Jatinder Roy Khattar,295,0.19,DSP,Gian Chand Bansal,258,0.17,HSS,Sukhchain Singh,212,0.14,SAD(A)(M),Harvinder Singh Harry,157,0.10,JJJKP,Hardeep Kumar Sharma,105,0.07,,,,,,,,,,,,,,,,,,,,
