No. of AC,Name of AC,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,
,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,St. Andre,INC,Francisco Silveira,8087,48.85,BJP,Ramrao Surya Naik Wagh,3017,18.23,5070,30.63,MAG,Jagdish Umakant Bhobe,2393,14.46,IND,Dhaku Arjun Madkaikar,1285,7.76,AAP,Rama Gurudas Kankonkar,979,5.91,152,0.92,641,3.87,16554,NCP,Dattaram Naguesh Chari,325,1.96,IND,Simao Aleixo Caiado,143,0.86,IND,Sunil Savlo Kerkar,97,0.59,GSRP,Leocardio A. D. Monteiro,47,0.28,IND,Ashwin Menino Rosario,29,0.18,,,,,,,,
15,Cumbarjua,BJP,Pandurang Madkaikar,12395,60.30,INC,Xavier Fialho,3961,19.27,8434,41.03,AAP,Prakash Dattaram Naik,2394,11.65,IND,Vishal Shambu Volvoikar,990,4.82,IND,Prasad Harmalkar,468,2.28,348,1.69,0,0.00,20556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Maem,BJP,Pravin Zantye,12430,51.56,INC,Santosh Kumar Sawant,7456,30.93,4974,20.63,GSM,Atmaram Vaman Gaonker,2317,9.61,NCP,Subhash Narsinha Kinalkar,528,2.19,AAP,Ajeetsingh Vamanrao Rane,525,2.18,377,1.56,475,1.97,24108,IND,Prabhakar Laximan Gaonkar,174,0.72,IND,Deepkumar D Mapari,159,0.66,IND,Ashok Anant Gaonkar,142,0.59,,,,,,,,,,,,,,,,
17,Sanquelim,BJP,Dr. Pramod Pandurang Sawant,10058,42.44,INC,Dharmesh Saglani,7927,33.45,2131,8.99,GSM,Suresh Amonkar,3831,16.16,NCP,Pratap Prabhakar Gauns,857,3.62,AAP,Milind Gauns,408,1.72,329,1.39,290,1.22,23700,IND,Mahesh Shantaram Parab,218,0.92,GSRP,Moulali Shaikh,72,0.30,,,,,,,,,,,,,,,,,,,,
18,Poriem,INC,Pratapsingh R Rane,14977,54.27,BJP,Vishwajit Krishnarao Rane,10911,39.54,4066,14.73,MAG,Suhas Gajanan Naik,469,1.70,AAP,Sitaram Anant Gawas,403,1.46,IND,Ajit Sadanand Mhalshekar,284,1.03,552,2.00,0,0.00,27596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Valpoi,INC,Vishwajit Pratapsingh Rane,13493,53.28,BJP,Satyavijay Subrai Naik,7815,30.86,5678,22.42,MAG,Vijay Atmaram Gaonkar,3246,12.82,AAP,Ashish V. Kanekar,410,1.62,,,,,362,1.43,0,0.00,25326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Priol,IND,Govind Gaude,15149,56.22,MAG,Pandurang Alias Deepak Madhav Dhavalikar,10463,38.83,4686,17.39,AAP,Dr. Dattaram B. Dessai,456,1.69,INC,Ramkrishna B. Jalmi,429,1.59,,,,,448,1.66,0,0.00,26945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ponda,INC,Ravi Sitaram Naik,9502,37.86,BJP,Sunil Desai,6492,25.87,3010,11.99,IND,Rajesh Verekar,4529,18.05,MAG,Lavoo Mamledar,3796,15.13,AAP,Mulla Mansur Muzawar,522,2.08,254,1.01,0,0.00,25095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Siroda,INC,Subhash Ankush Shirodkar,11156,45.31,BJP,Mahadev Narayan Naik,6286,25.53,4870,19.78,MAG,Abhay Ramchandra Prabhu,5815,23.62,AAP,Molu Anand Velip,586,2.38,IND,Nilesh Govind Gaonkar,447,1.82,194,0.79,140,0.57,24624,IND,Diya Chandrakant Shetkar,140,0.57,,,,,,,,,,,,,,,,,,,,,,,,
23,Marcaim,MAG,Ramkrishna Alias Sudin Dhavalikar,17093,73.18,BJP,Pradeep Pundalik Shet,3413,14.61,13680,58.57,INC,Urmila Alias Vindiksha Vinod Naik,1259,5.39,AAP,Surel Datta Tilve,971,4.16,IND,Hanumant Vasant Naik,244,1.04,376,1.61,0,0.00,23356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Mormugao,BJP,Milind Sagun Naik,8466,48.82,INC,Sankalp Amonkar,8326,48.02,140,0.81,AAP,Giovanni Karl Vaz,267,1.54,SHS,Sanjay Naik,51,0.29,IND,Parashuram Umaji Sonurlekar,48,0.28,151,0.87,31,0.18,17340,IND,Maria Liberata Mendonca,31,0.18,,,,,,,,,,,,,,,,,,,,,,,,
25,Vasco-da-gama,BJP,Jose Luis Carlos Almeida,8765,33.58,IND,Krishna (Daji) V Salkar,7414,28.41,1351,5.18,NCP,Jose Filipe De Sousa,4202,16.10,INC,Saifula Khan,3737,14.32,AAP,Loretta Shreedharan,928,3.56,263,1.01,790,3.03,26099,MAG,Manesh Chandrakant Arolkar,654,2.51,IND,Gandhi Henriques,77,0.30,NGRF,Chandrashekher Vast,59,0.23,,,,,,,,,,,,,,,,
26,Dabolim,BJP,Mauvin Heliodoro Godinho,7234,41.40,MAG,Premanand Nanoskar,4740,27.13,2494,14.27,INC,Francisco Jose Nunes,2752,15.75,AAP,Vasant (Gopi) Naik,1117,6.39,NCP,Kritesh Naik Gaunkar,1043,5.97,168,0.96,419,2.40,17473,IND,Kenneth Ian Stewart Silveira,130,0.74,IND,Tara Govind Kerkar,124,0.71,IND,Preetam Keluskar,109,0.62,NGRF,Suresh Barve,56,0.32,,,,,,,,,,,,
27,Cortalim,BJP,Alina Saldanha,5666,24.13,IND,Antonio Vas,5148,21.92,518,2.21,INC,Gilbert Mariano Rodrigues,4326,18.42,GVP,Nelly Rodrigues,3380,14.39,AAP,Olencio Simoes,2482,10.57,210,0.89,2274,9.68,23486,UGP,Ramakant Borkar,1708,7.27,GSRP,Sharan Meti,258,1.10,IND,Miguel Antonio Rodrigues,177,0.75,MAG,Suman Sharma,75,0.32,GPP,Gilroy Costa,56,0.24,,,,,,,,
28,Nuvem,INC,Wilfred D'Sa,9967,46.47,GSRP,Francisco Xavier Pacheco,4307,20.08,5660,26.39,AAP,Mariano Godinho,3389,15.80,NCP,Vincent Rodrigues,2880,13.43,IND,Dinesh Bandodkar,664,3.10,240,1.12,0,0.00,21447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Curtorim,INC,Aleixo Reginaldo Lourenco,12841,60.28,BJP,Arthur D’Silva,5144,24.15,7697,36.13,AAP,Edwin Domnic Vaz,2711,12.73,MAG,Conceicao Dias,240,1.13,IND,Jose Paulo Fernandes,118,0.55,249,1.17,0,0.00,21303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
