No. of AC,Name of AC,Phase,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,,19th Position,,,,20th Position,,,,21th Position,,,,22th Position,,,,23th Position,,,,24th Position,,,,25th Position,,,,26th Position,,,,27th Position,,,
,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Thana Bhawan,I,BJP,Suresh Kumar,90995,42.78,BSP,Abdul Waris Khan,74178,34.88,16817,7.90,RLD,Javed Rao,31275,14.70,SP,Sudhir Kumar,13480,6.34,BMUP,Mohd Nasir,561,0.26,883,0.42,1319,0.62,212691,IND,Rahat Ali,378,0.18,IND,Sunil,318,0.15,IND,Sahdev,225,0.11,IND,Manju,210,0.10,IND,Parvez Ali,188,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Shamli,I,BJP,Tejendra Nirwal,70085,35.69,INC,Pankaj Kumar Malik,40365,20.56,29720,15.13,RLD,Bijendra Singh,33551,17.09,IND,Manish Kumar,31824,16.21,BSP,Mohammad Islam,17114,8.72,901,0.46,2507,1.28,196347,PECP,Bilal A,820,0.42,IND,Sanjeev Kumar,379,0.19,IND,Sanjeev,294,0.15,IND,Mohd. Gufran Kazmi,294,0.15,BMUP,Arvind Kumar,278,0.14,BJD(T),Ompal,233,0.12,IND,Lokendra Kumar,209,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Budhana,I,BJP,Umesh Malik,97781,40.55,SP,Pramod Tyagi,84580,35.08,13201,5.47,BSP,Saeeda Begam,30034,12.46,RLD,Yograj Singh,23732,9.84,IND,Shobha Ram,699,0.29,1286,0.53,3004,1.25,241116,IND,Mohd. Rasheed Kassar,666,0.28,NISHAD,Dinesh Kumar,611,0.25,NLP,Jameel,400,0.17,RKMP,Manoj,361,0.15,IND,Rizwan,276,0.11,IND,Ch. Rajkumar Baliyan,222,0.09,SHS,Sumat Pal Kashyap,145,0.06,IND,Jagapal,136,0.06,IND,Anil,106,0.04,IND,Mohd. Gulafam,81,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Charthawal,I,BJP,Vijay Kumar Kashyap,82046,39.64,SP,Mukesh Kumar Chaudhary,58815,28.42,23231,11.22,BSP,Noor Saleem Rana,47704,23.05,RLD,Salman Zaidi,14442,6.98,NISHAD,Vishal Kumar,975,0.47,1018,0.49,1964,0.95,206964,LD,Amita Singh,549,0.27,IND,Adesh Kumar,444,0.21,IND,Furakan,385,0.19,JSP,Jaipal Singh Saini,305,0.15,ABVCP,Arsad Mansuri,281,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Purqazi (SC),I,BJP,Pramod Utwal,77491,37.93,INC,Deepak Kumar,66238,32.42,11253,5.51,BSP,Anil Kumar,46401,22.71,RLD,Choti,8227,4.03,SP,Uma Kiran,2570,1.26,1139,0.56,2253,1.10,204319,NISHAD,Kavita,871,0.43,BMUP,Anil Kumar,579,0.28,IND,Manoj Kumar,298,0.15,NLP,Mitva Bhanvar,260,0.13,IND,Aatmaram,245,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Muzaffar Nagar,I,BJP,Kapil Dev Agarwal,97838,45.38,SP,Gaurav Swarup Bansal,87134,40.41,10704,4.97,BSP,Rakesh Kumar Sharma,21038,9.76,RLD,Payal Maheshwari,5640,2.62,IND,Sangita,1008,0.47,1133,0.53,1811,0.84,215602,CPI,Murtaza Salmani,491,0.23,IND,Shahzama Khan,249,0.12,IND,Zakir Ali Rana,240,0.11,IND,Raj Kishor,199,0.09,BLSP,Krishan Pal Singh,177,0.08,IND,Jamshed,131,0.06,JSP,Karan Singh Saini,92,0.04,ABHM,Reenu Alias Sakshi,81,0.04,BRJ,Babita,55,0.03,BJD(T),Sanjay Kumar,52,0.02,IND,Rishi Ram,44,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Khatauli,I,BJP,Vikram Singh,94771,44.47,SP,Chandan Singh Chauhan,63397,29.75,31374,14.72,BSP,Shivan Singh Saini,37380,17.54,RLD,Shahnawaz Rana,12846,6.03,CPI,Brahm Singh,823,0.39,694,0.33,3185,1.49,213096,HUP,Janardan Sharma,626,0.29,IND,Yajpal,598,0.28,ABHM,Surendra Kumar,332,0.16,BBPP,Adesh,315,0.15,IND,Deepak Kumar,315,0.15,IND,Bharatvir,312,0.15,LD,Aashi Gaur,207,0.10,IND,Satayveer Singh,201,0.09,BSDP,Braj Bhushan,148,0.07,ABVCP,Maya,131,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Meerapur,I,BJP,Avtar Singh Bhadana,69035,33.77,SP,Liyakat Ali,68842,33.68,193,0.09,BSP,Nawazish Alam Khan,39689,19.42,RLD,Mithleshpal,22751,11.13,NISHAD,Sandeep Kumar,474,0.23,1090,0.53,2524,1.23,204405,ABVCP,Imrana,462,0.23,IND,Moh. Moosa,451,0.22,IND,Nabab Ali,305,0.15,BMUP,Moh. Jishan,292,0.14,IND,Adesh Kumar,238,0.12,SHS,Manoj Saini,237,0.12,MKUP,Motiram,200,0.10,JSP,Dharamveer Singh Saini,174,0.09,IND,Anjum Kamal,165,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Najibabad,II,SP,Tasleem Ahmad,81082,37.55,BJP,Rajiv Kumar Agarwal,79080,36.62,2002,0.93,BSP,Jameel Ahmad,45070,20.87,RLD,Leena Singhal,3587,1.66,AIMEIM,Tazeem Siddiqui,2094,0.97,1516,0.70,3507,1.62,215936,IND,Umesh Kushwaha Dani,848,0.39,IND,Dhara Singh,784,0.36,SaSP,Sampurnanand Pandey,447,0.21,IND,Asarpat Singh,439,0.20,ADP,Ashfak Mahigeer,393,0.18,BMF,Hemendra,237,0.11,BBPP,Kuldeep,184,0.09,GKP,Mohd Umar,175,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Nagina (SC),II,SP,Manoj Kumar Paras,77145,36.75,BJP,Omwati Devi,69178,32.96,7967,3.79,BSP,Virendra Pal,49693,23.67,AIMEIM,Neelam,4385,2.09,PECP,Dr.Phool Singh Chaudhary,2541,1.21,1431,0.68,5530,2.63,209903,RLD,Yadram Singh Chandel,2113,1.01,IND,Chandrvir Singh,685,0.33,IND,Vijay,636,0.30,IND,Manohar,555,0.26,RLSP,Chiranjee Lal,493,0.23,IND,Jagdish Singh,449,0.21,VIP,Sarvesh Alias Shabnam,287,0.14,NaAP,Sapna,171,0.08,GKP,Satendra Kumar,141,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
