No. of AC,Name of AC,Phase,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,,19th Position,,,,20th Position,,,,21th Position,,,,22th Position,,,,23th Position,,,,24th Position,,,,25th Position,,,,26th Position,,,,27th Position,,,
,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Etah,I,BJP,Vipin Kumar David,82516,40.92,SP,Jugendra Singh Yadav,61387,30.44,21129,10.48,BSP,Gajendra Singh Chauhan Urf Babloo,41937,20.80,LD,Ashish Kumar Yadav,11032,5.47,CPIM,Rajaram,920,0.46,1277,0.63,2580,1.28,201649,IND,Suneet Chauhan,679,0.34,IND,Sukhvendra Singh,463,0.23,IND,Rajesh Kumar,361,0.18,IND,Yogendrapal Singh,333,0.17,JANP,Pradeep Kumar,274,0.14,IND,Manoj Kumar,218,0.11,VPI,Rajesh Kumar,127,0.06,IND,Omendra Singh,125,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Marhara,I,BJP,Virendra,92507,48.35,SP,Amit Gaurav,59075,30.87,33432,17.48,BSP,Shalabh Maheshwari,31966,16.71,JAM,Kailash Lodhi,2168,1.13,IND,Harendra Kumar,1496,0.78,1351,0.71,2776,1.45,191339,LD,Ranjit,1159,0.61,IND,Shiva Rajput,500,0.26,VPI,Ram Nivas,419,0.22,IND,Bhu Devi,369,0.19,BSS,Vidhyaram,329,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Jalesar (SC),I,BJP,Sanjeev Kumar Diwakar,81502,44.14,SP,Ranjeet Suman,61694,33.41,19808,10.73,BSP,Mohan Singh Happy,35817,19.40,RKP,Rajkumari,2375,1.29,IND,Ramdas Daga,597,0.32,1188,0.64,1467,0.79,184640,IND,Suresh,489,0.26,IND,Dharmendra Pal Singh,385,0.21,IND,Geeta Devi,326,0.18,IND,Jaypal,267,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Mainpuri,I,SP,Rajkumar Alias Raju Yadav,75787,38.51,BJP,Ashok Kumar,66956,34.02,8831,4.49,BSP,Maharaj Singh,48314,24.55,MHP,Satyendra Singh,1257,0.64,JAM,Vinay,684,0.35,1157,0.59,2658,1.35,196813,RLD,Pradeep Kumar,636,0.32,BSS,Ramnaresh,595,0.30,IND,Surjeet Singh,365,0.19,IND,Suresh,339,0.17,IND,Sanjeev Kumar,284,0.14,IND,Maharaj Singh,266,0.14,IND,Pal Singh,173,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Bhongaon,III,BJP,Ram Naresh Agnihotri,92697,47.36,SP,Alok Kumar,72400,36.99,20297,10.37,BSP,Surendra Singh,26041,13.30,BVSP,Chakrapan,808,0.41,IND,Sandeep Kumar,696,0.36,1242,0.63,1862,0.95,195746,VPI,Ajay Kumar,522,0.27,BSS,Pushpendra Kumar,411,0.21,IND,Sunil Kumar,398,0.20,RKP,Hariram Shakya,308,0.16,IND,Arvind Singh,223,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Kishani (SC),III,SP,Brajesh Kumar,80475,44.83,BJP,Sunil Kumar,63946,35.62,16529,9.21,BSP,Kamlesh Kumari,27858,15.52,JAM,Suman Diwakar,2724,1.52,RLD,Grish Kumar,920,0.51,1070,0.60,2522,1.40,179515,BSS,Netrapal,800,0.45,IND,Nathoo Ram,442,0.25,IND,Leena Singh,377,0.21,IND,Ashish Nigam,363,0.20,IND,Akhilesh,286,0.16,FJP,Meera,254,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Karhal,III,SP,Sobaran Singh Yadav,104221,49.57,BJP,Rama Shakya,65816,31.30,38405,18.27,BSP,Dalvir,29676,14.11,RLD,Kaushal Yadav,4683,2.23,RKMP,Lal Kumar,1713,0.81,1014,0.48,3145,1.50,210268,BSS,Ranvijay Singh,776,0.37,IND,Pannalal,720,0.34,IND,Vinay,670,0.32,IND,Sunil,531,0.25,IND,Ramprakash,448,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Gunnaur,III,BJP,Ajeet Kumar Urf Raju Yadav,107344,47.14,SP,Ram Khiladi Singh,95958,42.14,11386,5.00,BSP,Mohammad Islam Khan,16052,7.05,IND,Ajeet,1292,0.57,BSS,Kunwarpal,1219,0.54,2639,1.16,3227,1.42,227731,IND,Suresh Chandra,1062,0.47,IND,Atul Kumar,875,0.38,AIFB,Harisingh,697,0.31,SaSaD,Bhadur Singh Yadav,593,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Bisauli (SC),II,BJP,Kushagra Sagar,100287,43.79,SP,Ashutosh Maurya Alias Raju,89599,39.13,10688,4.66,BSP,Major Kailash Sagar,32398,14.15,PPS,Jagveer,1508,0.66,SaSaD,Hari Prakash Arya,1187,0.52,2342,1.02,1674,0.73,228995,IND,Surendra,1042,0.46,JAM,Km.Yashoda,632,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Sahaswan,II,SP,Omkar Singh,77543,32.20,BSP,Arshad Ali,73274,30.43,4269,1.77,RPD,Umlesh Yadav,57522,23.89,BJP,Ashtosh Varshney,24152,10.03,RLD,Anil Kumar,2117,0.88,2902,1.21,3290,1.37,240800,BSS,Rajpal Singh,2048,0.85,BBPP,Riyasat Khan,1242,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Bilsi,II,BJP,Pt. Radha Krishan Sharma,82070,41.87,BSP,Musarrat Ali Bittan,55091,28.10,26979,13.77,SP,Vimal Krishan Agarwal Alias Pappi,50848,25.94,JAM,Rizwan Ali,1846,0.94,IND,Satpal Singh,1285,0.66,1930,0.98,2960,1.51,196030,RPS,Arvind Singh,672,0.34,IND,Rajendra Singh,623,0.32,IND,Fakir Chandra Maurya,540,0.28,IND,Chandrabhan Singh,413,0.21,IND,Faqrudden,378,0.19,IND,Pawan Gulati,334,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Badaun,II,BJP,Mahesh Chandra Gupta,87314,41.04,SP,Abid Raza Khan,70847,33.30,16467,7.74,BSP,Bhupendra Singh,32641,15.34,SHS,Ramsewak Singh Patel,14576,6.85,IND,Satish Chandra,1127,0.53,1509,0.71,4731,2.22,212745,AIMEIM,Khalid Pervaiz,883,0.42,IND,Harindra Singh Yadav,848,0.40,BBP,Amarjeet Singh,699,0.33,PPS,Sachin Pathak,619,0.29,IND,Muzaffar Ali Khan,490,0.23,IND,Abinav Raj,421,0.20,IND,Arun Prakash Gupta,273,0.13,KJP,Mahesh Kumar Shrivastava,258,0.12,BSS,Krishan Pal,240,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Shekhupur,II,BJP,Dharmendra Kumar Singh Shakya,93702,39.72,SP,Ashish Yadav,70316,29.81,23386,9.91,BSP,Mohd. Rizwan,64327,27.27,IND,Km. Sarvesha Devi,1619,0.69,BSS,Rajendra,1101,0.47,1896,0.80,2945,1.25,235906,MD,Kamta Prasad,922,0.39,PECP,Anesh Pal,899,0.38,RMEP,Priti Kashyap,657,0.28,IEMC,Bandehasan,467,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Dataganj,II,BJP,Rajeev Kumar Singh Urf Babbu Bhaiya,79110,35.19,BSP,Sinod Kumar Shakya (Deepu Bhaiya),53351,23.73,25759,11.46,LD,Captain Arjun Singh,39029,17.36,INC,Prem Pal Singh Yadav,32243,14.34,PECP,Dr Shailesh Pathak,11064,4.92,1971,0.88,8054,3.58,224822,RLD,Jitendra Singh Yadav,1898,0.84,DSP,Man Singh,1195,0.53,BSS,Rajveer Sharma,1181,0.53,IND,Rajendra Singh,1136,0.51,IND,Dr Ajeet Singh,995,0.44,JSSP,Ved Babu,903,0.40,BBP,Rajkumar,746,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Baheri,II,BJP,Chhatra Pal Singh,108846,43.93,BSP,Naseem Ahmad,66009,26.64,42837,17.29,SP,Ata Ur Rehman,63841,25.76,MD,Ubaid Ullah Khan,2658,1.07,IND,Satish Chandra,977,0.39,1479,0.60,3975,1.60,247785,IND,Manjoor Ahmed,836,0.34,RKMP,Rakesh Kumar,718,0.29,RLD,Priyavan Gangwar,618,0.25,IND,Fauzul,404,0.16,JAM,Smt Anupama Maurya,335,0.14,BSS,Dharam Pal,327,0.13,IND,Chinta Mani,316,0.13,JSEP,Jameer Ahmad,226,0.09,IND,Dushyant Kumar,195,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Meerganj,II,BJP,Dr. D.C. Verma,108789,51.74,BSP,Sultan Beg,54289,25.82,54500,25.92,INC,Narendra Pal Singh,36938,17.57,MD,Bhanu Pratap Singh,2267,1.08,PECP,Shakeel Ahmad,1696,0.81,1749,0.83,4548,2.16,210276,RLD,Ganga Singh Verma,1255,0.60,BSS,Champat Ram,1125,0.54,BhIP,Laik Ahmad Mansuri,746,0.35,IND,Amit Singh,715,0.34,IND,Chandra Bhoj Pathak,707,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Bhojipura,II,BJP,Bahoran Lal Maurya,100381,42.07,SP,Shazil Islam Ansari,72617,30.43,27764,11.64,BSP,Suleman Beg,49882,20.90,IEMC,Sher Ali Zafri,6494,2.72,RLD,Gajender Kumar,1388,0.58,1763,0.74,6106,2.56,238631,SSAP,Mahesh Chandra,1159,0.49,IND,Munendra Kumar,1157,0.48,IND,Anees Khan,1093,0.46,JSEP,Dori Lal Kashyap,911,0.38,IND,Noor Jahan Jafri,609,0.26,IND,Devdatt Gangwar,602,0.25,BSS,Rajendra Pal,575,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Nawabganj,II,BJP,Kesar Singh,93711,43.52,SP,Bhagwat Saran Gangwar,54569,25.34,39142,18.18,IEMC,Shaila Tahir,36761,17.07,BSP,Virender Singh Gangwar,18948,8.80,RLD,Mo Aslam,1783,0.83,1860,0.86,7707,3.58,215339,IND,Rashmi Gangwar,1264,0.59,BSS,Ratan Lal,1260,0.59,PECP,Master Chhotey Lal Gangwar,1227,0.57,IND,Mo Tahir,1071,0.50,SKLP,Prahlad Ram,1041,0.48,IND,Tasabbar Husain,986,0.46,IND,Naeem Ahmad,858,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Faridpur (SC),II,BJP,Dr. Shyam Bihari Lal,83656,43.98,SP,Dr. Siya Ram Sagar,58935,30.98,24721,13.00,BSP,Vijay Pal Singh,37680,19.81,RLD,Poonam Sen,3075,1.62,IND,Shalini Singh,1927,1.01,1831,0.96,3105,1.63,190209,LD,Vijendra Pal,1208,0.64,JSSP,Ulfat Singh Katheriya,990,0.52,PECP,Daulat Ram,907,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Bithari Chainpur,II,BJP,Rajesh Kumar Mishra,96397,41.03,SP,Veer Pal Singh Yadav,76886,32.72,19511,8.31,BSP,Virendra Singh,53286,22.68,RLD,Mohd Shareef,1102,0.47,IEMC,Bhuvneshwar Singh,1055,0.45,2647,1.13,3585,1.53,234958,PPS,Seema Srivastava,995,0.42,IND,Dharmendra Singh,844,0.36,PECP,Hasrat Ali,827,0.35,BhIP,Mohd Hasan,470,0.20,LSP,Ritik,449,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Bareilly,II,BJP,Dr. Arun Kumar,115010,51.37,INC,Prem Prakash Agarwal,86343,38.57,28667,12.80,BSP,Er. Anees Ahamad Khan,14588,6.52,CPI,Tarkeshwar Chaturvedi,1754,0.78,PECP,Aqeel Ahmad Khan,1073,0.48,1421,0.63,3684,1.65,223873,IND,Syed Rashid Ali,800,0.36,RLD,Iqtaidar Uddin,643,0.29,IND,Madhvi Sahu,591,0.26,IND,Ranjit,513,0.23,AIFB,Sartaj Alvi,413,0.18,IND,Arshad Ali Khan,379,0.17,JSEP,Amit Khandelwal,345,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Bareilly Cantt.,II,BJP,Rajesh Agarwal,88441,48.22,INC,Mujahid Hassan Khan,75777,41.31,12664,6.91,BSP,Rajendra Prasad Gupta,14239,7.76,RLD,Atul Saxena,819,0.45,PECP,Rabiya Akhtar,698,0.38,1061,0.58,2395,1.31,183430,IND,Kamal Kishor Balmeeki,619,0.34,PLM,Jai Prakash Saxena,488,0.27,IEMC,Manjeet Singh,459,0.25,SHS,Vijay Kumar,332,0.18,BMUP,Susheel Kumar Gautam,260,0.14,JSEP,Priyanka Khandelwal,237,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Aonla,II,BJP,Dharam Pal Singh,63165,34.76,SP,Sidhraj Singh,59619,32.81,3546,1.95,BSP,Agam Kumar Maurya,54192,29.82,JJP,Pradeep Saxena,1005,0.55,IND,Rakhi Rani,735,0.40,1794,0.99,1199,0.66,181709,IND,Hariom Singh,730,0.40,BSS,Raj Pal,469,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Pilibhit,II,BJP,Sanjay Singh Gangwar,136486,54.20,SP,Riaz Ahmad,93130,36.98,43356,17.22,BSP,Arshad Khan,14532,5.77,JSEP,Chandarsen,1010,0.40,RKMP,Moh Yusuf Malik,989,0.39,1818,0.72,3854,1.53,251819,IND,Rajrani,964,0.38,IND,Vijay Singh Gangwar,654,0.26,RLD,Bhoopram Alias Bhawani Prasad,639,0.25,IND,Munesh Singh,437,0.17,JAM,Shailendra Kumar Gangwar,433,0.17,IND,Sharad Jaiswal,420,0.17,BSS,Chokhelal,307,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Barkhera,II,BJP,Kishan Lal Rajpoot,104595,49.37,SP,Hemraj Verma,46665,22.02,57930,27.35,BSP,Dr. Shailendra Singh Gangwar,28674,13.53,RLD,Jaidrath Alias Prabaktanand,22631,10.68,RKMP,Niranjan Singh,1797,0.85,2307,1.09,5209,2.46,211878,IND,Surya Prakash,1103,0.52,IND,Santram Verma,1044,0.49,BSS,Kishan Lal,822,0.39,IND,Narayan Lal,643,0.30,SSAP,Sarbaz Ahmad,633,0.30,IND,Aashif Beg,453,0.21,BMUP,Keerat Prasad,268,0.13,MKP,Prem Swaroop,243,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Puranpur (SC),II,BJP,Babu Ram Paswan,128493,52.06,SP,Peetam Ram,89251,36.16,39242,15.90,BSP,Er.K.K. Arvind,20139,8.16,RLD,Ayasha Begum,1658,0.67,SSKP,Nattho Devi,1502,0.61,2246,0.91,3530,1.43,246819,CPI(ML)(L),Shyam Bihari,1322,0.54,BSS,Mahendra Kumar Raj,1144,0.46,IND,Rameshwar Dayal,1064,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Bisalpur,II,BJP,Agyash Ram Saran Verma,103498,46.43,INC,Anis Ahmad Khan Alias Phoolbabu,62502,28.04,40996,18.39,BSP,Divya Gangwar,45338,20.34,CPI,Bheemsen Sharma,2451,1.10,RLD,Dr.Nagesh Chandra Pathak,2127,0.95,2301,1.03,4707,2.11,222924,RKMP,Ramratan Verma,1906,0.85,IND,Deshraj Verma,1067,0.48,IND,Rampal Mishra,985,0.44,BSS,Shyam Kishor Verma,749,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Katra,II,BJP,Veer Vikram Singh Prince,76509,39.64,SP,Rajesh Yadav,59779,30.97,16730,8.67,BSP,Adhiwakta Rajeev Kashyap,47471,24.60,RLD,Vividh Kumar,1288,0.67,IND,Sanjeev Kumar Mishra,1243,0.64,1830,0.95,4872,2.52,192992,MD,Suneeta Devi,1015,0.53,IND,Suraj Pal,837,0.43,RJDP,Jayveer Singh,785,0.41,IND,Raj Kumar,624,0.32,BSS,Vedram,594,0.31,JAM,Dinesh,414,0.21,IND,Chotey Lal,360,0.19,IND,Krishna Pal Singh,243,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Jalalabad,II,SP,Sharadvir Singh,75326,36.16,BJP,Manoj Kashyap,66029,31.69,9297,4.47,BSP,Neeraj Kushwaha Maurya,58337,28.00,RLD,Amit Priyadarshi Rajput,1306,0.63,IND,Asha Ram,1281,0.61,1614,0.77,4439,2.13,208332,BSS,Ram Prakash,1175,0.56,BMUP,Mohd. Akil,1149,0.55,IND,Bharat Bhushan,1065,0.51,LD,Jay Shree,621,0.30,RVJP,Jagpal,429,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Tilhar,II,BJP,Roshan Lal Verma,81770,40.03,INC,Kunwar Jitin Prasada,76065,37.24,5705,2.79,BSP,Avadhesh Kumar Verma,31418,15.38,RLD,Pradip Kumar,3983,1.95,IND,Ragni Singh,1733,0.85,1683,0.82,7597,3.72,204249,SSAP,Rajesh Yadav,1253,0.61,BhIP,Anish Kumar Singh,1225,0.60,BhKD,Pramod Kumar Yadav,1178,0.58,IND,Rakesh Kumar,968,0.47,IND,Ramesh Pal Singh Yadav,946,0.46,LD,Sukhveer Singh,545,0.27,IND,Aruna Devi,530,0.26,BSS,Harish Chandra,521,0.26,SHS,Shivam Sharma,431,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Powayan (SC),II,BJP,Chetram,126635,55.25,SP,Shakuntla Devi,54218,23.65,72417,31.60,BSP,Gurbachan Lal,38797,16.93,SSAP,Mahendra,1448,0.63,IND,Dhirendra Prasad,1369,0.60,2065,0.90,4673,2.04,229205,BSS,Arun Kumar,1176,0.51,IND,Bandhu Prasad,991,0.43,IND,Chandrakala,823,0.36,IND,Kandhai,692,0.30,LD,Rakesh Kumar,582,0.25,RJDP,Rajnish,409,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Shahjahanpur,II,BJP,Suresh Kumar Khanna,100734,48.89,SP,Tanveer Khan,81531,39.57,19203,9.32,BSP,Mohammad Aslam Khan,16546,8.03,CPI,Manish Chandra,1309,0.64,RLD,Gaurav,991,0.48,1151,0.56,3763,1.83,206025,LD,Anil Kumar Singh,782,0.38,SSAP,Rajeev Kumar Saxena,611,0.30,IND,Heera Lal Shukla,608,0.30,IND,Rohit Dixit,523,0.25,IND,Sanjay Kumar,376,0.18,IND,Lokesh Srivastava,310,0.15,IND,Kishan Lal,278,0.13,BSS,Sarvesh Kumar,275,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Dadraul,II,BJP,Manvendra Singh,86435,39.91,SP,Rammurtee Singh Verma,69037,31.88,17398,8.03,BSP,Rizwan Ali,50762,23.44,CPI,Roopa,2387,1.10,IND,Kuver,1410,0.65,2383,1.10,4149,1.92,216563,IND,Pratap Singh,1246,0.58,IND,Rajendra Prasad,971,0.45,BSS,Gur Dayal,689,0.32,LD,Omkar Singh Verma,687,0.32,IND,Gur Preet Singh,556,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Palia,II,BJP,Harvinder Kumar Sahani,118069,50.94,INC,Saif Ali Naqvi,48841,21.07,69228,29.87,BSP,Virendra Kumar Agarwal,43436,18.74,RKMP,Ramnaresh,7795,3.36,CPI(ML)(L),Arti Rai,1661,0.72,2077,0.90,9920,4.28,231799,NCP,Naseer Ahmad,1387,0.60,SSAP,Keval Singh,1384,0.60,BMUP,Deepchand,1278,0.55,IND,Upendra Singh,1225,0.53,UPRP,Sri Ram,1104,0.48,IND,Rakesh Kumar Gupta,1096,0.47,IND,Vandna Gupta,1032,0.45,RVP,Vijaypal,719,0.31,BSS,Netrapal,695,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Nighasan,II,BJP,Patel Ramkumar Verma,107487,48.39,SP,Krishna Gopal Patel,61364,27.62,46123,20.77,BSP,Girjashankar Singh Alias G.S. Singh,40674,18.31,NISHAD,Radheyshyam,2470,1.11,BSS,Mahipal Singh,1885,0.85,2663,1.20,5604,2.52,222147,RPI(A),Shiv Kumar Maurya,1453,0.65,KSP(S),S.P.Mishra Alias Satyaprakash,1300,0.59,IND,Sarika Gupta,1122,0.51,PMP,Ram Khelawan,886,0.40,JAM,Ratnakar Maurya,843,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Gola Gokrannath,II,BJP,Arvind Giri,122497,48.83,SP,Vinay Tiwari,67480,26.90,55017,21.93,BSP,Brij Swaroop Kanaujia,51542,20.55,NCP,Makarand Singh,1252,0.50,IND,Vidyawati,1113,0.44,3022,1.20,3934,1.57,250840,RKMP,Dinesh Kumar,964,0.38,PECP,Manish Kumar Gupta,870,0.35,BSS,Paramjeet Sharma,580,0.23,IND,Narendra Kumar Urf Narendra Kumar,530,0.21,RVP,Shamshuddin,517,0.21,RLP,Raghvendra Singh Chauhan,473,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Sri Nagar (SC),II,BJP,Manju Tyagi,112941,50.68,SP,Meera Bano,58002,26.03,54939,24.65,BSP,Praveen Kumar,44757,20.08,SPOI,Dinesh Kumar,1914,0.86,RLD,Chandravati Devi,1810,0.81,2141,0.96,1300,0.58,222865,RBCP,Neelam Devi Chaudhary,1300,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Dhaurahra,II,BJP,Awasthi Bala Prasad,79809,36.06,SP,Yeshpal Singh Chaudhari,76456,34.54,3353,1.52,BSP,Shamsher Bahadur,54723,24.73,LD,Anuj Kumar,2065,0.93,IND,Shamsher,1757,0.79,3360,1.52,3153,1.42,221323,BSS,Suresh,1374,0.62,SHS,Kapil Kumar Katiyar Advocate,913,0.41,PECP,Suneel Kumar,866,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Lakhimpur,II,BJP,Yogesh Verma,122677,47.99,SP,Utkarsh Verma Madhur,84929,33.22,37748,14.77,BSP,Shashidhar Mishra Naame Mahraj,39068,15.28,RLD,Liaqat Ali Khan,1674,0.65,IND,Paro Kinnar,1231,0.48,2434,0.95,3609,1.41,255622,MasP,Oosha Verma,1160,0.45,RVP,Vinay Tiwari,946,0.37,BSS,Om Prakash,861,0.34,BJSP,Pujaa Shukla,642,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Kasta (SC),II,BJP,Saurabh Singh,92824,44.20,SP,Sunil Kumar Lala,68551,32.65,24273,11.55,BSP,Rajesh Kumar,41778,19.90,CPIM,Arvind Kumar,1997,0.95,BSS,Kusum Devi,1864,0.89,1978,0.94,995,0.47,209987,IND,Ramesh Chandra,995,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
