No. of AC,Name of AC,Phase,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,
,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Lamsang,I,BJP,Sorokhaibam Rajen Singh,12593,44.93,INC,Wangkheimayum Brajabidhu Singh,11313,40.36,1280,4.57,NEIDP,Phijam Pakchao Singh,3956,14.11,,,,,,,,,166,0.59,0,0.00,28028,,,,,,,,,,,,,,,,,,,,,,,,
18,Konthoujam,I,BJP,Dr. Sapam Ranjan Singh,14313,54.99,INC,Konthoujam Sharat Singh,11541,44.34,2772,10.65,IND,Nongmaithem Santa Singh,83,0.32,,,,,,,,,92,0.35,0,0.00,26029,,,,,,,,,,,,,,,,,,,,,,,,
19,Patsoi,I,INC,Km. Ak. Mirabai Devi,13405,42.61,NEIDP,Sapam Kunjakeswor (Keba) Singh,13291,42.25,114,0.36,BJP,S. Premananda Sharma,3173,10.09,NPP,Chungkham Thoiba (Bijoy) Singh,1236,3.93,CPIM,Thounaojam Sharat Singh,85,0.27,270,0.86,0,0.00,31460,,,,,,,,,,,,,,,,,,,,,,,,
20,Langthabal,I,LJSP,Karam Shyam,9625,39.00,BJP,O. Joy Singh,7294,29.55,2331,9.44,NEIDP,Ningombam Nilakumar Singh,2806,11.37,MNDF,Mutum Dinesh Singh,2035,8.25,CPI,Nongthombam Singhajit,1819,7.37,119,0.48,983,3.98,24681,INC,Loitongbam Tilotama Devi,983,3.98,,,,,,,,,,,,,,,,,,,,
21,Naoriya Pakhanglakpa,I,BJP,Soibam Subhaschandra Singh,8609,28.38,INC,R.K. Anand,6994,23.06,1615,5.32,AITC,Soraisham Manaoton Singh,6121,20.18,LJSP,Konthoujam Manoranjan Singh,4777,15.75,NEIDP,Oinam Malesh Singh,3610,11.90,153,0.50,70,0.23,30334,NCP,Thokchom Dhanabir Singh,70,0.23,,,,,,,,,,,,,,,,,,,,
22,Wangoi,I,INC,Oinam Lukhoi Singh,7443,28.38,NPP,Khuraijam Loken Singh,7407,28.24,36,0.14,BJP,Salam Joy Singh,6590,25.13,MNDF,Sagolsem Achouba Singh,3983,15.19,LJSP,Moirangmayum Thoiba Singh,719,2.74,83,0.32,0,0.00,26225,,,,,,,,,,,,,,,,,,,,,,,,
23,Mayang Imphal,I,BJP,Kongkham Robindro Singh,15221,55.40,INC,Dr. Khumujam Ratankumar Singh,12127,44.14,3094,11.26,,,,,,,,,,,,,125,0.45,0,0.00,27473,,,,,,,,,,,,,,,,,,,,,,,,
24,Nambol,I,INC,Nameirakpam Loken Singh,14736,50.28,BJP,Thounaojam Chaoba,14456,49.33,280,0.96,,,,,,,,,,,,,115,0.39,0,0.00,29307,,,,,,,,,,,,,,,,,,,,,,,,
25,Oinam,I,BJP,Laishram Radhakishore Singh,12029,49.07,INC,Dr. Irengbam Ibohalbi Singh,11186,45.63,843,3.44,NCP,Khundrakpam Romio,1030,4.20,MNDF,Laitonjam Thoiba Singh,190,0.78,,,,,81,0.33,0,0.00,24516,,,,,,,,,,,,,,,,,,,,,,,,
26,Bishnupur,I,INC,Konthoujam Govindas,14150,53.11,BJP,Konthoujam Krishna Kumar Singh,8872,33.30,5278,19.81,LJSP,Khundrakpam Bhabeshwor Singh,3333,12.51,AITC,Thokchom Bindasakhi Devi,105,0.39,,,,,181,0.68,0,0.00,26641,,,,,,,,,,,,,,,,,,,,,,,,
27,Moirang,I,BJP,Pukhrem Sharatchandra Singh,11708,37.04,INC,Mairembam Prithviraj Singh,11333,35.85,375,1.19,IND,Thongam Shanti Singh,8369,26.47,,,,,,,,,203,0.64,0,0.00,31613,,,,,,,,,,,,,,,,,,,,,,,,
28,Thanga,I,AITC,Tongbram Robindro Singh,6462,33.06,BJP,Moirangthem Asnikumar Singh,5457,27.92,1005,5.14,INC,Tongbram Mangibabu Singh,5070,25.94,NCP,Heisnam Kulachandra Singh,2461,12.59,,,,,97,0.50,0,0.00,19547,,,,,,,,,,,,,,,,,,,,,,,,
29,Kumbi,I,INC,Sanasam Bira Singh,11881,49.91,BJP,Ningthoujam Mangi,10570,44.40,1311,5.51,LJSP,Ningombam Ibohal Meitei,1057,4.44,MNDF,Wahengbam Bobbyjames Singh,180,0.76,,,,,117,0.49,0,0.00,23805,,,,,,,,,,,,,,,,,,,,,,,,
30,Lilong,II,INC,Muhammad Abdul Nasir,10765,36.69,IND,Y. Antas Khan,9497,32.37,1268,4.32,BJP,Md. Anwar Hussain,8456,28.82,NEIDP,Sheikh Kheiruddin,369,1.26,MNDF,Md. Abdul Zabar,83,0.28,100,0.34,67,0.23,29337,IND,Nasir Ahmad Sheikh,67,0.23,,,,,,,,,,,,,,,,,,,,
31,Thoubal,II,INC,Okram Ibobi Singh,18649,68.38,BJP,Leitanthem Basanta Singh,8179,29.99,10470,38.39,AITC,Leishangthem Suresh Singh,144,0.53,PRJA,Irom Sharmila Chanu,90,0.33,IND,Dr. Akoijam Manglemjao Singh,66,0.24,143,0.52,0,0.00,27271,,,,,,,,,,,,,,,,,,,,,,,,
32,Wangkhem,II,INC,Keisham Meghachandra Singh,11293,39.52,NEIDP,Yumnam Nabachandra Singh,8413,29.44,2880,10.08,BJP,Oinam Haridas Singh,4573,16.00,LJSP,Kangabam Jadu Singh,3986,13.95,NPP,Laishram Thanil Meitei,136,0.48,177,0.62,0,0.00,28578,,,,,,,,,,,,,,,,,,,,,,,,
33,Heirok,II,BJP,Thokchom Radheshyam Singh,13389,46.63,INC,Moirangthem Okendro,11742,40.89,1647,5.74,NCP,Ningthoujam Diten,3321,11.57,AITC,Moirangthem Totomsana,85,0.30,MPP,Nongmeikapam Sovakiran Singh,84,0.29,94,0.33,0,0.00,28715,,,,,,,,,,,,,,,,,,,,,,,,
34,Wangjing Tentha,II,INC,Paonam Brojen Singh,12830,43.37,BJP,Moirangthem Hemanta,10967,37.07,1863,6.30,CPI,Haobam Robindro Singh,5562,18.80,MNDF,Sagolsem Ibochoubi Singh,121,0.41,,,,,105,0.35,0,0.00,29585,,,,,,,,,,,,,,,,,,,,,,,,
35,Khangabok,II,INC,Surjakumar Okram,20781,64.22,BJP,Thokchom Jadumani Singh,11329,35.01,9452,29.21,NPP,Haji Asraf Ali,116,0.36,,,,,,,,,133,0.41,0,0.00,32359,,,,,,,,,,,,,,,,,,,,,,,,
36,Wabgai,II,INC,Md. Fajur Rahim,12474,45.16,BJP,Dr. Usham Deben Singh,7713,27.92,4761,17.24,NEIDP,Mayengbam Ranjit Singh,5264,19.06,MNDF,Md. Abdul Samad,1695,6.14,NPP,Mohammad Habibur Rahman,326,1.18,117,0.42,33,0.12,27622,PRJA,Najima Bibi,33,0.12,,,,,,,,,,,,,,,,,,,,
37,Kakching,II,INC,Yengkhom Surchandra Singh,11133,46.20,BJP,M. Rameshwar Singh (Ramay),10503,43.58,630,2.61,CPI,Naorem Achouba,2215,9.19,,,,,,,,,249,1.03,0,0.00,24100,,,,,,,,,,,,,,,,,,,,,,,,
38,Hiyanglam,II,BJP,Dr. Radheshyam Yumnam,13394,53.17,INC,Elangbam Dwijamani Singh,11669,46.32,1725,6.85,,,,,,,,,,,,,127,0.50,0,0.00,25190,,,,,,,,,,,,,,,,,,,,,,,,
39,Sugnu,II,INC,Kangujam Ranjit Singh,13331,56.19,BJP,Yumnam Jiban Singh,10198,42.98,3133,13.21,,,,,,,,,,,,,196,0.83,0,0.00,23725,,,,,,,,,,,,,,,,,,,,,,,,
40,Jiribam,II,IND,Ashab Uddin,8189,35.70,INC,Thoudam Debendra Singh,6539,28.50,1650,7.19,BJP,Thounaojam Ranabir Singh,3199,13.95,NEIDP,A. Biren Singh,2812,12.26,NPF,Mathiudin Kamei,1163,5.07,389,1.70,649,2.83,22940,NPP,Habib Ali,649,2.83,,,,,,,,,,,,,,,,,,,,
41,Chandel (ST),II,NPP,Letpao Haokip,14216,33.58,IND,Ts Warngam,12091,28.56,2125,5.02,BJP,S.S. Olish,9842,23.25,PDA,Bd. Behring Anal,3044,7.19,NPF,St. Victor Nunghlung,1574,3.72,163,0.39,1406,3.32,42336,INC,Chungjalen Haokip,1185,2.80,AITC,Thangkholun Haokip,221,0.52,,,,,,,,,,,,,,,,
42,Tengnoupal (ST),II,INC,D. Korungthang,16940,40.63,BJP,Yangkholet Haokip,12284,29.47,4656,11.17,NPF,Khulpuwa Armstrong Charang,11015,26.42,NPP,Kh David Maring,1300,3.12,,,,,150,0.36,0,0.00,41689,,,,,,,,,,,,,,,,,,,,,,,,
43,Phungyar (ST),II,NPF,K. Leishiyo,11900,47.68,BJP,Somi Awungshi,7122,28.54,4778,19.15,INC,Victor Keishing,5313,21.29,IND,A.S. Hopingson,452,1.81,AITC,M.K. Phungreiyo,97,0.39,72,0.29,0,0.00,24956,,,,,,,,,,,,,,,,,,,,,,,,
44,Ukhrul (ST),II,INC,Alfred Kanngam Arthur,11510,35.88,BJP,Somatai Shaiza,11214,34.96,296,0.92,NPF,Samuel Risom,8883,27.69,LJSP,Worthington Mahung,310,0.97,AITC,Letsei Haokip,115,0.36,46,0.14,0,0.00,32078,,,,,,,,,,,,,,,,,,,,,,,,
45,Chingai (ST),II,NPF,Khashim Vashum,16582,51.70,BJP,Sword Vashum,8932,27.85,7650,23.85,INC,Preshow M.K Shimray,6370,19.86,NEIDP,N.K. Shimray,157,0.49,,,,,30,0.09,0,0.00,32071,,,,,,,,,,,,,,,,,,,,,,,,
46,Saikul (ST),I,INC,Yamthong Haokip,8677,29.59,NCP,Chungkhokai Doungel,5416,18.47,3261,11.12,BJP,Paojalet Touthang,4439,15.14,NEIDP,Doukhomang Khongsai,4008,13.67,NPP,Ch. Ajang Khongsai,2993,10.21,45,0.15,3744,12.77,29322,LJSP,Thangjamang Haokip,2803,9.56,RPI(A),L. Samuel Kom,464,1.58,NPF,Mangvung Thangboi Haokip,304,1.04,MNDF,Letjam Singson,67,0.23,AITC,Horngam Keishing,61,0.21,IND,Kenn Raikhan,45,0.15
47,Karong (ST),II,INC,D.D. Thaisii,14038,31.84,BJP,R. Yuh Jonathan Tao,9745,22.10,4293,9.74,IND,Thaiba Sanii,7322,16.60,IND,Solomon Vieno,6553,14.86,NPF,Dr. V. Alexander Pao,5342,12.11,145,0.33,951,2.16,44096,LJSP,T.K. Savanai,951,2.16,,,,,,,,,,,,,,,,,,,,
48,Mao (ST),II,NPF,Losii Dikho,25933,52.69,BJP,Woba Joram,10519,21.37,15414,31.32,INC,P.T. Arhai,7604,15.45,IND,R. Haba Pao,5101,10.36,,,,,59,0.12,0,0.00,49216,,,,,,,,,,,,,,,,,,,,,,,,
